Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda             752.95     28013.92        22.71   35431441      28720
vda             753.08     27989.67        22.66   35485029      28732
vda             753.69     27976.97        22.61   35552857      28736
vda             754.19     27961.85        22.57   35617805      28752
vda             754.80     27949.32        22.53   35685973      28760
vda             755.32     27934.70        22.48   35751113      28776
vda             755.91     27921.53        22.44   35818301      28788
vda             756.47     27908.59        22.41   35885417      28820
vda             757.08     27895.93        22.36   35953105      28820
vda             757.44     27876.76        22.32   36012033      28836
vda             757.96     27863.03        22.27   36078169      28836
vda             758.10     27840.94        22.23   36133365      28852
vda             758.25     27818.53        22.18   36188013      28852
vda             758.65     27802.02        22.15   36250221      28884
vda             758.89     27783.20        22.10   36309313      28884
vda             759.48     27771.35        22.06   36377133      28900
vda             759.86     27754.68        22.02   36438837      28908
vda             760.13     27735.50        21.98   36497141      28924
vda             760.35     27715.44        21.94   36553897      28932
vda             760.73     27698.11        21.90   36614405      28948
vda             761.11     27681.59        21.85   36675897      28948
vda             761.59     27666.62        21.81   36739053      28964
vda             761.99     27651.84        21.76   36802661      28964
vda             762.38     27636.47        21.73   36865393      28980
vda             762.47     27614.88        21.68   36919437      28980
vda             762.61     27593.91        21.64   36974465      28992
vda             762.82     27575.33        21.59   37032565      28996
vda             763.04     27555.78        21.56   37088977      29012
vda             763.33     27539.14        21.52   37149473      29024
vda             763.66     27522.95        21.49   37210205      29048
vda             763.94     27506.46        21.44   37270709      29056
vda             764.16     27486.66        21.41   37326337      29072
vda             764.44     27470.15        21.36   37386605      29072
vda             764.88     27456.07        21.33   37450073      29088
vda             765.09     27437.73        21.28   37507373      29088
vda             765.22     27417.82        21.24   37562681      29104
vda             765.53     27401.86        21.20   37623021      29104
vda             765.73     27383.23        21.17   37679865      29128
vda             766.07     27367.29        21.12   37740033      29128
vda             766.29     27349.41        21.09   37797709      29144
vda             766.60     27332.42        21.06   37856497      29164
vda             766.76     27312.69        21.03   37911109      29192
vda             766.87     27292.37        20.99   37965053      29200
vda             767.06     27274.28        20.96   38021713      29216
vda             767.30     27256.28        20.91   38078665      29216
vda             767.46     27236.79        20.88   38133133      29232
vda             767.51     27215.09        20.83   38184669      29232
vda             767.75     27197.59        20.80   38241993      29248
vda             767.99     27180.77        20.76   38299877      29248
vda             768.17     27162.74        20.74   38356229      29280
vda             768.28     27144.04        20.69   38411525      29280
vda             768.54     27128.10        20.66   38470365      29300
vda             768.82     27112.75        20.62   38530193      29308
vda             769.06     27095.93        20.59   38587581      29324
vda             769.24     27079.16        20.55   38645205      29328
vda             769.40     27061.52        20.52   38701225      29344
vda             769.54     27043.65        20.48   38757069      29344
vda             769.68     27025.34        20.45   38811905      29364
vda             769.77     27005.34        20.40   38864193      29364
vda             769.89     26987.06        20.37   38919121      29380
vda             770.06     26970.86        20.33   38976665      29380
vda             770.13     26951.17        20.30   39029337      29400
vda             770.28     26934.72        20.26   39086317      29400
vda             770.38     26916.12        20.25   39140349      29448
vda             770.53     26899.13        20.25   39196329      29504
vda             770.71     26882.68        20.21   39253289      29504
vda             770.94     26867.85        20.18   39312229      29524
vda             771.06     26850.26        20.14   39367321      29524
vda             771.07     26830.96        20.11   39419513      29544
vda             771.13     26813.18        20.07   39474093      29544
vda             771.18     26794.37        20.04   39526789      29560
vda             771.21     26775.25        20.00   39579181      29560
vda             771.34     26758.92        19.97   39635317      29576
vda             771.39     26739.56        20.04   39687121      29740
vda             771.38     26720.61        20.06   39739165      29832
vda             771.40     26701.78        20.02   39791521      29832
vda             771.41     26682.17        20.00   39842621      29868
vda             771.28     26660.20        19.97   39889785      29872
vda             771.29     26641.18        19.95   39941261      29904
vda             771.30     26622.08        19.91   39992749      29904
vda             771.40     26605.06        19.88   40047005      29920
vda             771.46     26586.82        19.84   40099565      29920
vda             771.51     26568.21        19.81   40151201      29936
vda             771.57     26550.25        19.77   40203977      29936
vda             771.45     26529.07        19.75   40251489      29964
vda             771.36     26508.30        19.72   40299769      29976
vda             771.45     26490.88        19.69   40352761      29996
vda             771.51     26473.43        19.65   40405869      29996
vda             771.59     26456.14        19.63   40458849      30016
vda             771.62     26438.46        19.59   40511121      30016
vda             771.66     26420.44        19.56   40563041      30036
vda             771.58     26399.75        19.53   40610473      30036
vda             771.67     26382.59        19.50   40663493      30052
vda             771.66     26365.19        19.46   40715761      30052
vda             771.73     26348.29        19.43   40768965      30068
vda             771.73     26331.15        19.40   40821445      30068
vda             771.69     26312.13        19.37   40871161      30084
vda             771.77     26295.68        19.34   40924493      30096
