time               total        used        free      shared  buff/cache   available
2023-07-31 21:09:12  Mem:           125G         33G         61G        1.1M         30G         90G
2023-07-31 21:09:15  Mem:           125G         33G         61G        1.1M         30G         90G
2023-07-31 21:09:18  Mem:           125G         33G         60G        1.1M         30G         90G
2023-07-31 21:09:21  Mem:           125G         33G         60G        1.1M         30G         90G
2023-07-31 21:09:24  Mem:           125G         33G         60G        1.1M         30G         90G
2023-07-31 21:09:27  Mem:           125G         34G         60G        1.1M         30G         90G
2023-07-31 21:09:30  Mem:           125G         34G         60G        1.1M         30G         90G
2023-07-31 21:09:33  Mem:           125G         34G         59G        1.1M         30G         89G
2023-07-31 21:09:36  Mem:           125G         34G         59G        1.1M         30G         89G
2023-07-31 21:09:39  Mem:           125G         34G         59G        1.1M         31G         89G
2023-07-31 21:09:42  Mem:           125G         34G         59G        1.1M         31G         89G
2023-07-31 21:09:45  Mem:           125G         34G         59G        1.1M         31G         89G
2023-07-31 21:09:48  Mem:           125G         34G         59G        1.1M         31G         89G
2023-07-31 21:09:51  Mem:           125G         34G         58G        1.1M         31G         89G
2023-07-31 21:09:54  Mem:           125G         35G         58G        1.1M         31G         89G
2023-07-31 21:09:57  Mem:           125G         35G         58G        1.1M         31G         89G
2023-07-31 21:10:00  Mem:           125G         35G         58G        1.1M         31G         88G
2023-07-31 21:10:03  Mem:           125G         35G         58G        1.1M         31G         88G
2023-07-31 21:10:06  Mem:           125G         35G         57G        1.1M         31G         88G
2023-07-31 21:10:09  Mem:           125G         35G         57G        1.1M         31G         88G
2023-07-31 21:10:12  Mem:           125G         35G         57G        1.1M         31G         88G
2023-07-31 21:10:15  Mem:           125G         35G         57G        1.1M         31G         88G
2023-07-31 21:10:18  Mem:           125G         36G         57G        1.1M         31G         88G
2023-07-31 21:10:21  Mem:           125G         36G         56G        1.1M         32G         88G
2023-07-31 21:10:24  Mem:           125G         36G         56G        1.1M         32G         87G
2023-07-31 21:10:27  Mem:           125G         36G         56G        1.1M         32G         87G
2023-07-31 21:10:30  Mem:           125G         36G         56G        1.1M         32G         87G
2023-07-31 21:10:33  Mem:           125G         36G         56G        1.1M         32G         87G
2023-07-31 21:10:36  Mem:           125G         36G         56G        1.1M         32G         87G
2023-07-31 21:10:39  Mem:           125G         36G         55G        1.1M         32G         87G
2023-07-31 21:10:42  Mem:           125G         36G         55G        1.1M         32G         87G
2023-07-31 21:10:45  Mem:           125G         37G         55G        1.1M         32G         87G
2023-07-31 21:10:48  Mem:           125G         37G         55G        1.1M         32G         87G
2023-07-31 21:10:51  Mem:           125G         37G         55G        1.1M         32G         86G
2023-07-31 21:10:54  Mem:           125G         37G         55G        1.1M         32G         86G
2023-07-31 21:10:57  Mem:           125G         37G         54G        1.1M         32G         86G
2023-07-31 21:11:00  Mem:           125G         37G         54G        1.1M         32G         86G
2023-07-31 21:11:03  Mem:           125G         37G         54G        1.1M         32G         86G
