      enp1s0      
 KB/s in  KB/s out
13555.82     59.86
16279.64     64.95
17015.67     63.73
20026.99     71.61
21371.76     76.54
20729.32     75.06
20213.24     72.14
17472.07     62.12
16831.44     88.79
22618.06     86.21
19337.94     68.35
20318.87     70.34
17897.62     64.65
21411.81     76.06
16101.68     58.32
14731.55     53.15
 8400.68     31.87
10278.82     39.05
14221.39     54.55
13542.69     48.90
16101.97     58.39
10279.01     36.25
13714.20     51.37
 8067.86     46.37
16647.75     89.02
18197.90    100.66
15425.14     64.88
22611.25     79.35
18156.39     63.91
23980.10     83.44
19336.64     67.21
21095.14     73.80
22265.57     75.91
17298.56     60.03
 7707.03     28.78
22793.37     79.17
21848.84     76.96
19261.24     67.20
15424.02     61.17
21757.22     79.56
19724.32     91.94
15611.89     75.40
 8928.37     49.72
18758.33     78.87
22374.26     77.06
23314.45     81.85
12162.20     44.17
15760.26     57.09
23293.79     79.97
20045.96     70.13
18327.59     64.19
20911.38     71.31
20723.78     71.50
12331.45     42.02
17639.26     61.57
17642.55     61.80
21415.70     73.53
22267.48     76.80
17985.81     64.32
17128.79     61.27
20210.89     70.99
20553.55     72.03
18510.35     65.80
22778.06     78.50
16104.76     61.26
 7709.31     29.58
15174.05     70.73
15682.82     59.71
17667.38     83.55
14217.93     52.98
20317.57     95.46
18787.70     91.38
19014.83     71.74
17647.13     67.21
20896.73     73.62
16445.63     61.29
 9251.17     36.48
22796.92     91.81
17298.57     61.39
22093.32     77.04
21759.90     75.00
17470.44     61.91
16271.27     57.36
22264.15     76.64
21580.39     75.32
 7194.90     26.84
18326.49     61.39
22093.00     74.98
20554.03     71.09
18668.84     64.45
21416.56     74.30
19345.07     66.32
19182.06     66.45
14443.61     51.64
21012.70     73.52
15762.45     60.23
 8755.04     42.56
15956.74     80.28
23124.25     81.39
20806.26     74.08
19279.61     67.40
22091.62     76.15
10790.93     40.84
24689.68    108.57
19026.61     66.08
15247.09     55.23
16443.51     58.41
18680.74     76.41
 9255.15     38.38
15761.53     54.97
22265.67     77.40
20551.60     71.49
16111.16     56.44
18013.50     89.24
16617.76     60.19
22623.40     79.46
21581.09     75.24
14216.84     51.67
18245.75     64.46
19653.43     85.57
12492.64     58.22
 7710.64     31.67
15245.20     55.35
23121.84     80.09
18004.68     67.10
17313.48     72.63
15608.52     75.61
16789.83     64.40
14045.95     50.24
21758.71     81.71
17126.90     61.10
22606.59     77.99
16115.11     56.27
19183.51     65.80
19876.78     67.92
21069.83     72.71
17811.69     61.27
18668.77     64.18
17983.87     62.26
 6679.95     25.09
16811.53     60.19
20105.38     69.14
15664.28     55.29
22094.45     76.72
16269.19     73.35
 8272.48     55.19
16154.89    103.42
18366.49     99.34
15774.29     71.36
15416.97     56.19
19534.35     66.36
15599.97     68.08
16785.87     60.30
16788.35     59.45
22094.04     77.08
21080.33     73.46
18156.62     64.08
20553.35     71.35
21751.83     74.59
18156.70     62.67
15587.07     55.74
 7881.90     30.95
18921.84     67.33
20476.07     69.43
20039.52     68.46
20895.85     72.14
19010.96     65.46
 8689.33     32.92
21975.27     75.13
 8566.46     34.12
23123.07     80.99
22447.84     77.03
15163.62     52.31
17210.71     60.44
22099.51     84.53
14398.15     52.19
11820.68     43.64
19201.75     67.52
 8564.96     32.82
 7714.75     28.67
16633.89     75.82
27322.46     94.79
18262.69     61.29
21066.03     71.71
17480.64     61.28
17494.59     80.92
21582.63     77.08
18426.23     65.79
18211.86     63.47
18233.14     64.27
17953.54     64.15
 8223.86     30.79
16623.18     59.75
20382.73     71.85
20895.16     73.14
20895.79     72.66
 9421.49     34.83
24359.95    120.84
20563.65     72.31
 9420.89     34.97
16272.75     58.51
20727.72     71.34
15244.47     53.92
14390.72     52.99
23143.96     79.88
16981.08     67.82
15427.35     64.35
18326.92     64.86
16443.61     58.37
 2132.71     12.90
16209.16     66.74
18178.79     83.47
20574.74     75.89
19551.00     67.90
15912.98     63.10
16642.16     83.14
17839.80     74.69
19524.40     81.57
18980.08     72.62
20457.21     78.42
 7715.04     34.58
18002.83     66.51
15245.68     54.30
20039.31     68.67
16785.99     59.96
17308.85     62.68
21409.19     74.02
18154.42     62.61
15442.37     75.79
15416.83     55.46
20722.50     72.26
15437.07     67.47
18171.13     65.72
15634.96     55.51
14874.04     53.01
15067.13     55.40
 7718.56     32.03
22782.59     80.95
18498.10     64.30
19353.95     66.34
19803.53     69.81
22337.96     76.93
19867.68     68.35
19525.25     65.91
21408.83     74.89
12333.46     45.57
15591.37     58.69
21066.70     74.67
20038.34     69.71
20911.49     72.12
19526.29     67.97
14217.88     51.08
20736.31     71.60
17346.97     60.40
11601.11     43.49
15419.04     58.02
12333.89     45.52
10791.52     38.99
18500.06     66.64
20213.28     71.16
20211.98     70.67
17647.38     67.34
10289.71     49.24
21418.76     82.92
18158.84     66.28
16698.05     63.01
15472.50     55.27
16824.11     63.51
17647.75     66.51
