time               total        used        free      shared  buff/cache   available
2023-07-30 13:41:25  Mem:           125G         13G        105G        1.1M        5.8G        110G
2023-07-30 13:41:28  Mem:           125G         14G        105G        1.1M        5.9G        110G
2023-07-30 13:41:31  Mem:           125G         14G        105G        1.1M        5.9G        110G
2023-07-30 13:41:34  Mem:           125G         14G        104G        1.1M        6.0G        110G
2023-07-30 13:41:37  Mem:           125G         14G        104G        1.1M        6.1G        109G
2023-07-30 13:41:40  Mem:           125G         14G        104G        1.1M        6.1G        109G
2023-07-30 13:41:43  Mem:           125G         14G        104G        1.1M        6.2G        109G
2023-07-30 13:41:46  Mem:           125G         14G        104G        1.1M        6.3G        109G
2023-07-30 13:41:49  Mem:           125G         14G        104G        1.1M        6.3G        109G
2023-07-30 13:41:52  Mem:           125G         14G        104G        1.1M        6.4G        109G
2023-07-30 13:41:55  Mem:           125G         14G        104G        1.1M        6.5G        109G
2023-07-30 13:41:58  Mem:           125G         14G        103G        1.1M        6.5G        109G
2023-07-30 13:42:01  Mem:           125G         14G        103G        1.1M        6.6G        109G
2023-07-30 13:42:04  Mem:           125G         14G        103G        1.1M        6.7G        109G
2023-07-30 13:42:07  Mem:           125G         14G        103G        1.1M        6.7G        109G
2023-07-30 13:42:10  Mem:           125G         14G        103G        1.1M        6.8G        109G
2023-07-30 13:42:13  Mem:           125G         14G        103G        1.1M        6.9G        109G
2023-07-30 13:42:16  Mem:           125G         14G        103G        1.1M        6.9G        109G
2023-07-30 13:42:19  Mem:           125G         15G        103G        1.1M        7.0G        109G
2023-07-30 13:42:22  Mem:           125G         15G        103G        1.1M        7.0G        109G
2023-07-30 13:42:25  Mem:           125G         15G        102G        1.1M        7.1G        108G
2023-07-30 13:42:28  Mem:           125G         15G        102G        1.1M        7.2G        108G
2023-07-30 13:42:31  Mem:           125G         15G        102G        1.1M        7.2G        108G
2023-07-30 13:42:34  Mem:           125G         15G        102G        1.1M        7.3G        108G
2023-07-30 13:42:37  Mem:           125G         15G        102G        1.1M        7.4G        108G
2023-07-30 13:42:40  Mem:           125G         15G        102G        1.1M        7.5G        108G
2023-07-30 13:42:43  Mem:           125G         15G        102G        1.1M        7.5G        108G
2023-07-30 13:42:46  Mem:           125G         15G        101G        1.1M        7.6G        108G
2023-07-30 13:42:49  Mem:           125G         15G        101G        1.1M        7.6G        108G
2023-07-30 13:42:52  Mem:           125G         15G        101G        1.1M        7.7G        108G
2023-07-30 13:42:55  Mem:           125G         15G        101G        1.1M        7.7G        108G
2023-07-30 13:42:58  Mem:           125G         15G        101G        1.1M        7.8G        108G
2023-07-30 13:43:01  Mem:           125G         15G        101G        1.1M        7.8G        108G
2023-07-30 13:43:04  Mem:           125G         15G        101G        1.1M        7.9G        108G
2023-07-30 13:43:07  Mem:           125G         15G        101G        1.1M        8.0G        108G
2023-07-30 13:43:10  Mem:           125G         16G        101G        1.1M        8.0G        108G
2023-07-30 13:43:13  Mem:           125G         16G        100G        1.1M        8.1G        108G
2023-07-30 13:43:16  Mem:           125G         16G        100G        1.1M        8.2G        107G
2023-07-30 13:43:19  Mem:           125G         16G        100G        1.1M        8.2G        107G
2023-07-30 13:43:23  Mem:           125G         16G        100G        1.1M        8.3G        107G
2023-07-30 13:43:26  Mem:           125G         16G        100G        1.1M        8.4G        107G
2023-07-30 13:43:29  Mem:           125G         16G        100G        1.1M        8.4G        107G
2023-07-30 13:43:32  Mem:           125G         16G        100G        1.1M        8.5G        107G
2023-07-30 13:43:35  Mem:           125G         16G        100G        1.1M        8.5G        107G
2023-07-30 13:43:38  Mem:           125G         16G        100G        1.1M        8.6G        107G
2023-07-30 13:43:41  Mem:           125G         16G         99G        1.1M        8.6G        107G
2023-07-30 13:43:44  Mem:           125G         16G         99G        1.1M        8.7G        107G
2023-07-30 13:43:47  Mem:           125G         16G         99G        1.1M        8.8G        107G
2023-07-30 13:43:50  Mem:           125G         16G         99G        1.1M        8.8G        107G
2023-07-30 13:43:53  Mem:           125G         16G         99G        1.1M        8.9G        107G
2023-07-30 13:43:56  Mem:           125G         16G         99G        1.1M        8.9G        107G
2023-07-30 13:43:59  Mem:           125G         16G         99G        1.1M        9.0G        107G
2023-07-30 13:44:02  Mem:           125G         17G         99G        1.1M        9.1G        107G
2023-07-30 13:44:05  Mem:           125G         17G         98G        1.1M        9.1G        107G
2023-07-30 13:44:08  Mem:           125G         17G         98G        1.1M        9.2G        106G
2023-07-30 13:44:11  Mem:           125G         17G         98G        1.1M        9.3G        106G
2023-07-30 13:44:14  Mem:           125G         17G         98G        1.1M        9.3G        106G
2023-07-30 13:44:17  Mem:           125G         17G         98G        1.1M        9.4G        106G
2023-07-30 13:44:20  Mem:           125G         17G         98G        1.1M        9.5G        106G
2023-07-30 13:44:23  Mem:           125G         17G         98G        1.1M        9.5G        106G
2023-07-30 13:44:26  Mem:           125G         17G         98G        1.1M        9.6G        106G
2023-07-30 13:44:29  Mem:           125G         17G         97G        1.1M        9.6G        106G
2023-07-30 13:44:32  Mem:           125G         17G         97G        1.1M        9.7G        106G
2023-07-30 13:44:35  Mem:           125G         17G         97G        1.1M        9.8G        106G
2023-07-30 13:44:38  Mem:           125G         17G         97G        1.1M        9.8G        106G
2023-07-30 13:44:41  Mem:           125G         17G         97G        1.1M        9.9G        106G
2023-07-30 13:44:44  Mem:           125G         17G         97G        1.1M        9.9G        106G
2023-07-30 13:44:47  Mem:           125G         17G         97G        1.1M          9G        106G
2023-07-30 13:44:50  Mem:           125G         17G         97G        1.1M         10G        106G
2023-07-30 13:44:53  Mem:           125G         17G         97G        1.1M         10G        106G
2023-07-30 13:44:56  Mem:           125G         18G         96G        1.1M         10G        106G
2023-07-30 13:44:59  Mem:           125G         18G         96G        1.1M         10G        106G
2023-07-30 13:45:02  Mem:           125G         18G         96G        1.1M         10G        105G
2023-07-30 13:45:05  Mem:           125G         18G         96G        1.1M         10G        105G
2023-07-30 13:45:08  Mem:           125G         18G         96G        1.1M         10G        105G
2023-07-30 13:45:11  Mem:           125G         18G         96G        1.1M         10G        105G
2023-07-30 13:45:14  Mem:           125G         18G         96G        1.1M         10G        105G
2023-07-30 13:45:17  Mem:           125G         18G         96G        1.1M         10G        105G
2023-07-30 13:45:20  Mem:           125G         18G         95G        1.1M         10G        105G
