Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda              62.18      2536.54        82.38    1230549      39964
vda              61.81      2521.49        81.87    1230889      39964
vda              61.44      2506.09        81.47    1230889      40012
vda              61.06      2490.87        80.97    1230889      40012
vda              62.40      2503.80        80.51    1244813      40028
vda              64.79      2535.15        80.03    1268033      40028
vda              67.30      2576.46        79.64    1296449      40076
vda              69.62      2614.74        79.30    1323553      40140
vda              71.83      2647.59        78.86    1348153      40156
vda              74.04      2682.26        78.48    1373881      40200
vda              75.92      2711.56        78.13    1397049      40256
vda              78.05      2748.30        77.80    1424249      40316
vda              80.14      2783.80        77.45    1450997      40368
vda              82.22      2819.79        77.10    1478245      40420
vda              84.25      2853.86        76.78    1504697      40484
vda              86.10      2886.26        76.45    1530469      40540
vda              87.91      2917.78        76.16    1555937      40612
vda              89.90      2953.32        75.79    1583777      40644
vda              91.90      2990.89        75.44    1612929      40684
vda              93.92      3029.43        75.07    1642801      40708
vda              95.92      3065.19        74.68    1671417      40720
vda              97.65      3099.03        74.27    1699197      40724
vda              99.51      3133.08        73.91    1727265      40744
vda             101.55      3171.61        73.50    1758053      40744
vda             103.43      3207.56        73.14    1787637      40760
vda             105.41      3243.26        72.74    1817297      40760
vda             107.16      3276.09        72.38    1845553      40772
vda             109.04      3313.94        72.00    1876849      40776
vda             111.12      3352.56        71.67    1908777      40804
vda             113.15      3391.50        71.29    1941157      40804
vda             115.27      3431.58        70.95    1974429      40820
vda             117.14      3466.87        70.58    2005165      40820
vda             118.90      3500.11        70.24    2034929      40836
vda             120.83      3535.46        69.88    2066121      40840
vda             122.84      3571.35        69.55    2097849      40856
vda             124.87      3609.55        69.20    2131149      40856
vda             127.10      3649.63        68.88    2165765      40872
vda             129.25      3687.34        68.53    2199241      40872
vda             131.34      3723.53        68.21    2232033      40888
vda             133.50      3760.81        67.87    2265661      40888
vda             135.35      3790.37        67.60    2294881      40928
vda             137.38      3824.13        67.27    2326829      40928
vda             139.10      3851.13        66.96    2354813      40944
vda             140.58      3873.31        66.63    2380033      40944
vda             142.07      3896.26        66.31    2405861      40944
vda             143.42      3914.96        66.03    2429349      40972
vda             144.96      3937.68        65.73    2455261      40984
vda             146.45      3959.10        65.42    2480537      40988
vda             147.89      3981.06        65.13    2506233      41000
vda             149.19      4000.13        64.82    2530281      41004
vda             150.59      4020.93        64.54    2555541      41016
vda             152.09      4043.71        64.24    2582153      41020
vda             153.38      4062.08        63.96    2606109      41032
vda             154.73      4081.61        63.68    2630925      41048
vda             155.98      4100.65        63.39    2655537      41048
vda             157.20      4118.35        63.11    2679521      41064
vda             158.53      4137.82        62.84    2704645      41076
vda             159.75      4156.47        62.57    2729301      41084
vda             160.77      4170.09        62.30    2750797      41096
vda             161.96      4188.03        62.02    2775237      41100
vda             163.14      4204.55        61.76    2798797      41112
vda             164.12      4217.61        61.49    2820189      41116
vda             165.09      4230.87        61.21    2841789      41116
vda             166.69      4250.68        60.77    2878177      41148
vda             167.51      4262.14        60.54    2898769      41172
vda             168.57      4278.00        60.27    2922429      41172
vda             169.48      4288.87        60.03    2942765      41188
vda             170.51      4303.80        59.78    2965965      41200
vda             171.70      4321.54        59.54    2991153      41212
vda             172.70      4335.85        59.30    3014109      41224
vda             173.78      4351.05        59.05    3037769      41228
vda             174.84      4366.21        58.82    3061501      41244
vda             175.82      4380.34        58.57    3084545      41244
vda             176.77      4394.22        58.34    3107549      41256
vda             177.64      4406.04        58.10    3129169      41260
vda             178.55      4419.56        57.89    3152033      41288
vda             179.29      4429.38        57.65    3172365      41288
vda             180.39      4445.81        57.42    3197517      41300
vda             181.32      4458.57        57.19    3220109      41304
vda             182.41      4475.01        56.97    3245453      41316
vda             183.23      4486.08        56.74    3266941      41320
vda             184.04      4497.50        56.53    3288797      41336
vda             184.95      4510.56        56.30    3311921      41336
vda             185.84      4522.56        56.09    3334349      41352
vda             186.72      4534.54        55.89    3356781      41376
vda             187.77      4549.99        55.67    3381917      41376
vda             188.54      4560.58        55.46    3403517      41392
vda             189.58      4576.30        55.26    3429021      41408
vda             190.51      4591.81        55.04    3454461      41408
vda             191.34      4603.82        54.85    3477357      41432
vda             192.10      4615.22        54.64    3499861      41432
vda             192.85      4626.23        54.44    3522133      41448
vda             193.68      4638.93        54.23    3545717      41448
vda             194.58      4652.42        54.04    3570037      41464
vda             195.37      4664.36        53.84    3593237      41476
vda             196.08      4674.88        53.65    3615413      41492
vda             196.95      4687.42        53.44    3639221      41492
vda             197.82      4699.95        53.26    3663093      41508
vda             198.61      4712.58        53.06    3687125      41512
vda             199.39      4723.70        52.89    3710037      41536
vda             199.93      4730.14        52.68    3729333      41536
vda             200.79      4743.99        52.50    3754485      41552
vda             201.56      4755.78        52.30    3778133      41552
vda             202.32      4766.98        52.13    3801381      41568
vda             202.98      4775.86        51.93    3822837      41568
vda             203.57      4783.24        51.76    3843141      41584
vda             204.32      4794.00        51.56    3866165      41584
vda             205.05      4805.22        51.39    3889681      41600
vda             205.86      4817.90        51.20    3914449      41600
vda             206.49      4827.21        51.03    3936545      41616
vda             207.03      4833.82        50.85    3956481      41620
vda             207.58      4840.88        50.69    3976833      41644
vda             208.37      4853.27        50.51    4001569      41644
vda             209.08      4862.88        50.34    4024129      41660
vda             209.77      4872.55        50.16    4046801      41660
vda             210.32      4881.01        50.00    4068513      41676
vda             211.01      4891.67        49.82    4092129      41676
vda             211.70      4901.71        49.66    4115281      41692
vda             212.38      4912.95        49.48    4139457      41692
vda             212.98      4922.03        49.33    4161921      41708
vda             213.71      4933.85        49.15    4186769      41708
vda             214.42      4944.20        49.00    4210433      41724
vda             215.04      4954.14        48.85    4233809      41744
vda             215.72      4964.61        48.69    4258689      41768
vda             216.45      4976.28        48.52    4283681      41768
vda             217.19      4988.25        48.37    4309249      41784
vda             217.68      4996.29        48.20    4331233      41784
vda             218.42      5007.87        48.04    4357501      41800
vda             218.90      5014.76        47.89    4378589      41812
vda             219.45      5022.66        47.73    4400605      41816
vda             220.15      5033.86        47.58    4425517      41832
vda             220.85      5045.29        47.42    4450749      41832
vda             221.40      5053.13        47.27    4472877      41844
vda             221.93      5061.10        47.14    4495165      41868
vda             222.47      5068.61        46.99    4517097      41880
vda             223.08      5078.52        46.84    4541209      41884
vda             223.61      5087.25        46.70    4564281      41900
vda             224.27      5097.70        46.55    4589001      41900
vda             224.94      5109.75        46.40    4615225      41912
vda             225.39      5116.95        46.25    4637129      41916
vda             225.98      5126.82        46.12    4661513      41932
vda             226.64      5137.32        45.97    4686521      41932
vda             227.36      5148.80        45.83    4712489      41948
vda             227.99      5158.95        45.71    4737257      41976
vda             228.56      5167.66        45.58    4760813      41988
vda             229.12      5176.32        45.45    4784369      42012
vda             229.75      5186.14        45.31    4809057      42012
vda             230.38      5196.23        45.19    4834049      42036
vda             230.93      5204.87        45.04    4857757      42040
vda             231.42      5211.43        44.92    4879565      42056
vda             232.04      5221.99        44.77    4905169      42056
vda             232.59      5230.84        44.65    4929173      42072
vda             233.20      5240.78        44.51    4954321      42072
vda             233.74      5249.34        44.38    4978209      42088
vda             234.35      5259.39        44.29    5003569      42132
vda             234.84      5266.96        44.21    5026625      42196
vda             235.43      5276.84        44.15    5051941      42272
vda             236.02      5286.82        44.02    5077413      42272
vda             236.59      5295.36        43.88    5103301      42288
vda             237.05      5302.54        43.76    5126181      42304
vda             237.63      5312.03        43.62    5151337      42304
vda             238.20      5320.69        43.50    5175757      42316
vda             238.64      5327.68        43.37    5198589      42320
vda             239.21      5337.27        43.24    5223961      42320
vda             239.81      5347.49        43.12    5250429      42336
vda             240.38      5358.25        43.00    5277073      42348
vda             240.94      5367.53        42.87    5302365      42352
vda             241.56      5377.83        42.80    5328733      42404
vda             242.10      5386.87        42.67    5353901      42408
vda             242.59      5394.78        42.55    5377997      42420
vda             243.07      5402.19        42.43    5401645      42424
vda             243.61      5411.83        42.31    5427581      42436
vda             244.08      5419.79        42.19    5451821      42440
vda             244.61      5428.82        42.08    5477245      42452
vda             245.08      5435.82        41.96    5500669      42456
vda             245.61      5444.88        41.84    5526221      42468
vda             246.01      5451.38        41.72    5549181      42472
vda             246.58      5461.11        41.66    5575517      42532
vda             246.97      5467.57        41.58    5598573      42576
vda             247.37      5473.42        41.52    5621037      42644
vda             247.88      5481.54        41.45    5645881      42688
vda             248.40      5490.22        41.34    5671289      42708
vda             248.85      5498.38        41.23    5696265      42712
vda             249.36      5508.07        41.15    5722889      42752
vda             249.87      5516.72        41.03    5748473      42756
vda             250.24      5523.09        40.93    5771737      42768
vda             250.68      5530.73        40.81    5796373      42772
vda             251.18      5539.42        40.71    5822101      42788
vda             251.62      5546.45        40.59    5846181      42788
vda             252.10      5554.56        40.49    5871445      42800
vda             252.52      5561.97        40.38    5896017      42804
vda             253.00      5570.64        40.29    5921985      42832
vda             253.49      5578.24        40.18    5946845      42836
vda             253.93      5586.28        40.14    5972237      42912
vda             254.40      5593.73        40.07    5997033      42960
vda             254.78      5599.70        40.03    6020233      43036
vda             255.27      5608.32        39.97    6046389      43096
vda             255.62      5613.75        39.90    6069141      43136
vda             256.08      5621.63        39.79    6094581      43140
vda             256.43      5627.36        39.69    6117733      43152
vda             256.83      5634.10        39.59    6142017      43156
vda             257.33      5643.73        39.49    6169441      43168
vda             257.79      5652.25        39.40    6195769      43188
vda             258.18      5659.30        39.31    6220537      43212
vda             258.63      5666.71        39.21    6245737      43216
vda             259.02      5673.62        39.11    6270433      43228
vda             259.39      5679.94        39.01    6294513      43232
vda             259.77      5686.69        38.92    6319105      43244
vda             260.22      5695.05        38.82    6345481      43248
vda             260.66      5703.04        38.74    6371545      43284
vda             261.03      5709.84        38.64    6396329      43284
vda             261.36      5715.65        38.55    6420041      43300
vda             261.79      5723.74        38.45    6446357      43300
vda             262.18      5730.77        38.36    6471477      43316
vda             262.55      5737.19        38.27    6495989      43332
vda             263.03      5745.27        38.19    6522437      43356
vda             263.46      5752.47        38.09    6547925      43356
vda             263.82      5758.82        38.00    6572485      43368
vda             264.24      5766.63        37.90    6598753      43372
vda             264.61      5772.68        37.81    6623057      43384
vda             265.07      5781.67        37.72    6650769      43388
vda             265.49      5789.78        37.63    6677521      43404
vda             265.84      5795.74        37.54    6701793      43404
vda             266.19      5802.15        37.45    6726669      43420
vda             266.66      5810.24        37.36    6753533      43428
vda             266.96      5815.59        37.29    6777261      43452
vda             267.31      5821.59        37.19    6801773      43456
vda             267.72      5829.95        37.11    6829033      43472
vda             268.12      5837.59        37.02    6855545      43472
vda             268.51      5844.27        36.94    6880985      43488
vda             268.91      5851.33        36.84    6906905      43488
vda             269.15      5855.70        36.76    6929689      43500
vda             269.54      5862.75        36.67    6955625      43504
vda             269.93      5869.65        36.59    6981481      43520
vda             270.21      5874.88        36.50    7005385      43520
vda             270.60      5882.17        36.44    7031785      43556
vda             270.98      5889.84        36.34    7058681      43556
vda             271.27      5894.42        36.27    7081913      43576
vda             271.60      5900.04        36.18    7106421      43580
vda             271.94      5906.27        36.11    7131697      43596
vda             272.32      5913.57        36.03    7158257      43608
vda             272.69      5919.42        35.95    7183153      43624
vda             273.00      5924.72        35.86    7207425      43624
vda             273.32      5930.70        35.79    7232545      43648
vda             273.73      5937.95        35.70    7259265      43648
vda             274.05      5943.93        35.63    7284401      43664
vda             274.41      5951.02        35.54    7311009      43664
vda             274.78      5957.37        35.49    7336737      43704
vda             275.19      5965.23        35.40    7364369      43704
vda             275.50      5971.65        35.33    7390209      43720
vda             275.86      5977.61        35.25    7415585      43724
vda             276.12      5982.55        35.17    7439665      43740
vda             276.53      5991.63        35.09    7468989      43740
vda             276.84      5997.14        35.02    7493909      43756
vda             277.09      6002.23        34.95    7518329      43772
vda             277.44      6009.46        34.87    7545417      43788
vda             277.74      6014.88        34.79    7570329      43788
vda             278.03      6020.96        34.72    7596097      43804
vda             278.37      6028.56        34.64    7623841      43804
vda             278.67      6034.01        34.57    7648897      43824
vda             279.01      6041.64        34.49    7676685      43828
vda             279.35      6048.36        34.43    7703437      43848
vda             279.69      6055.18        34.35    7730349      43848
vda             280.07      6063.07        34.28    7758669      43864
vda             280.36      6068.46        34.20    7783773      43864
vda             280.65      6074.12        34.13    7809309      43880
vda             280.94      6079.91        34.05    7835061      43880
vda             281.23      6085.65        33.98    7860769      43896
vda             281.51      6090.69        33.91    7885553      43896
vda             281.83      6096.92        33.84    7911969      43912
vda             282.07      6101.71        33.76    7936557      43912
vda             282.39      6108.09        33.70    7963237      43932
vda             282.72      6114.26        33.63    7989693      43940
vda             283.03      6120.58        33.56    8016365      43956
vda             283.31      6124.97        33.48    8040489      43956
vda             283.62      6130.79        33.42    8066581      43972
vda             283.93      6137.25        33.34    8093553      43972
vda             284.25      6143.51        33.28    8120305      43988
vda             284.56      6150.14        33.20    8147585      43988
vda             284.88      6155.88        33.14    8173649      44004
vda             285.15      6160.78        33.07    8198701      44004
vda             285.37      6165.30        33.00    8223213      44020
vda             285.63      6170.54        32.94    8248781      44028
vda             285.89      6176.28        32.87    8275037      44044
vda             286.15      6181.08        32.80    8300077      44048
vda             286.41      6185.21        32.74    8324237      44064
vda             286.67      6190.58        32.67    8350041      44064
vda             286.93      6195.07        32.61    8374745      44080
