Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda             552.90     26746.01        69.26    9808565      25400
vda             549.51     26560.51        69.61    9822077      25740
vda             545.23     26349.76        69.19    9823453      25796
vda             541.07     26143.59        68.64    9825021      25796
vda             536.89     25938.53        68.13    9825773      25808
vda             532.72     25736.52        67.59    9826717      25808
vda             528.76     25539.83        67.10    9828237      25820
vda             525.95     25371.27        66.58    9839485      25820
vda             524.59     25222.02        66.10    9857521      25832
vda             524.70     25102.54        65.60    9886385      25836
vda             524.85     24993.00        65.14    9918473      25852
vda             524.78     24880.87        64.67    9948865      25860
vda             524.78     24772.28        64.30    9979761      25904
vda             524.76     24665.28        63.86   10010897      25920
vda             524.85     24566.18        63.51   10044621      25968
vda             524.89     24467.38        63.06   10077869      25972
vda             524.87     24370.43        62.64   10111049      25988
vda             524.77     24273.15        62.19   10143749      25988
vda             524.54     24175.23        61.78   10175597      26004
vda             524.74     24084.01        61.34   10209693      26004
vda             524.74     23992.05        60.94   10242925      26016
vda             524.97     23908.88        60.52   10279385      26020
vda             525.33     23828.17        60.16   10316405      26044
vda             525.52     23745.56        59.75   10351877      26048
vda             525.82     23663.43        59.39   10387297      26068
vda             526.42     23590.28        58.98   10426197      26068
vda             526.81     23511.47        58.62   10462133      26084
vda             527.22     23435.69        58.23   10498721      26084
vda             527.73     23361.36        57.87   10535737      26100
vda             528.32     23287.99        57.49   10572749      26100
vda             528.71     23211.34        57.15   10607813      26116
vda             528.99     23131.91        56.77   10641141      26116
vda             529.15     23050.90        56.44   10673025      26132
vda             529.17     22967.44        56.10   10703517      26144
vda             529.32     22888.26        55.78   10735281      26160
vda             529.51     22810.92        55.43   10767665      26164
vda             529.53     22730.11        55.11   10797937      26180
vda             529.26     22646.55        54.77   10826181      26180
vda             529.26     22568.84        54.46   10856965      26196
vda             528.87     22483.68        54.12   10883673      26196
vda             528.63     22402.43        53.82   10911777      26212
vda             528.40     22323.46        53.49   10940505      26212
vda             528.15     22244.01        53.19   10968521      26228
vda             528.01     22167.91        52.87   10997721      26228
vda             527.68     22088.62        52.58   11024649      26244
vda             527.45     22012.76        52.31   11053045      26264
vda             527.23     21937.94        52.05   11081509      26292
vda             526.88     21861.07        51.75   11108485      26296
vda             526.69     21788.50        51.48   11137189      26312
vda             526.58     21718.30        51.18   11166461      26312
vda             526.25     21644.45        50.91   11193641      26328
vda             525.92     21571.00        50.62   11220585      26328
vda             525.72     21500.48        50.35   11248621      26344
vda             525.35     21429.49        50.07   11275981      26344
vda             525.21     21363.48        49.81   11305337      26360
vda             524.92     21294.54        49.53   11332953      26360
vda             524.62     21225.69        49.28   11360201      26376
vda             524.38     21158.86        49.04   11387909      26396
vda             524.29     21095.82        48.82   11417477      26420
vda             523.87     21026.97        48.55   11443509      26424
vda             523.46     20958.04        48.32   11469077      26440
vda             523.30     20897.04        48.05   11498389      26440
vda             523.34     20839.36        47.88   11529377      26488
vda             523.04     20775.70        47.62   11556689      26488
vda             522.97     20715.98        47.39   11585825      26504
vda             522.79     20656.81        47.14   11614913      26504
vda             522.38     20592.48        46.91   11640721      26520
vda             522.09     20531.86        46.67   11668049      26520
vda             522.03     20476.36        46.45   11698145      26536
vda             521.87     20417.60        46.30   11726033      26588
vda             521.71     20360.54        46.08   11754545      26604
vda             521.54     20304.72        45.85   11783233      26608
vda             521.38     20249.84        45.64   11812337      26624
vda             521.00     20190.20        45.53   11838321      26696
vda             520.96     20136.98        45.43   11867729      26776
vda             520.80     20082.25        45.32   11895921      26844
vda             520.54     20027.40        45.13   11923713      26868
vda             520.40     19974.80        44.90   11952321      26868
vda             520.13     19920.00        44.70   11979489      26884
vda             520.06     19870.35        44.48   12009441      26884
vda             519.81     19817.64        44.29   12037233      26904
vda             519.72     19768.67        44.12   12066993      26928
vda             519.67     19720.47        43.94   12096929      26952
vda             519.43     19670.45        43.74   12125257      26960
vda             519.28     19621.90        43.55   12154393      26976
vda             519.03     19572.25        43.34   12182553      26976
vda             518.91     19524.52        43.16   12211609      26992
vda             518.77     19477.41        42.95   12240773      26992
vda             518.64     19431.22        42.77   12270229      27008
vda             518.60     19387.12        42.57   12300741      27008
vda             518.47     19340.51        42.39   12329189      27024
vda             518.20     19292.81        42.20   12356853      27028
vda             518.05     19247.50        42.03   12385765      27044
vda             517.83     19200.40        41.87   12413253      27068
vda             517.79     19157.96        41.70   12443477      27084
vda             517.64     19114.68        41.51   12472901      27084
vda             517.42     19069.37        41.34   12500545      27100
vda             517.20     19023.98        41.15   12528049      27100
vda             517.03     18980.35        40.99   12556449      27116
vda             516.89     18938.13        40.80   12585521      27116
