time               total        used        free      shared  buff/cache   available
2023-08-01 00:21:57  Mem:           125G         14G        101G        1.1M        9.5G        109G
2023-08-01 00:22:00  Mem:           125G         14G        101G        1.1M        9.5G        109G
2023-08-01 00:22:03  Mem:           125G         14G        100G        1.1M        9.5G        109G
2023-08-01 00:22:06  Mem:           125G         14G        100G        1.1M        9.5G        109G
2023-08-01 00:22:09  Mem:           125G         15G        100G        1.1M        9.5G        109G
2023-08-01 00:22:12  Mem:           125G         15G        100G        1.1M        9.5G        109G
2023-08-01 00:22:15  Mem:           125G         15G        100G        1.1M        9.5G        108G
2023-08-01 00:22:18  Mem:           125G         15G        100G        1.1M        9.5G        108G
2023-08-01 00:22:21  Mem:           125G         15G        100G        1.1M        9.5G        108G
2023-08-01 00:22:24  Mem:           125G         15G        100G        1.1M        9.5G        108G
2023-08-01 00:22:27  Mem:           125G         15G         99G        1.1M        9.6G        108G
2023-08-01 00:22:30  Mem:           125G         15G         99G        1.1M        9.6G        108G
2023-08-01 00:22:33  Mem:           125G         15G         99G        1.1M        9.6G        108G
2023-08-01 00:22:36  Mem:           125G         15G         99G        1.1M        9.7G        108G
2023-08-01 00:22:39  Mem:           125G         15G         99G        1.1M        9.7G        108G
2023-08-01 00:22:42  Mem:           125G         15G         99G        1.1M        9.7G        108G
2023-08-01 00:22:45  Mem:           125G         15G         99G        1.1M        9.8G        108G
2023-08-01 00:22:48  Mem:           125G         15G         99G        1.1M        9.8G        108G
2023-08-01 00:22:51  Mem:           125G         15G         99G        1.1M        9.8G        108G
2023-08-01 00:22:54  Mem:           125G         15G         99G        1.1M        9.9G        108G
2023-08-01 00:22:57  Mem:           125G         15G         99G        1.1M        9.9G        108G
2023-08-01 00:23:00  Mem:           125G         15G         99G        1.1M        9.9G        108G
2023-08-01 00:23:03  Mem:           125G         16G         99G        1.1M          9G        108G
2023-08-01 00:23:06  Mem:           125G         16G         99G        1.1M          9G        108G
2023-08-01 00:23:09  Mem:           125G         16G         99G        1.1M         10G        108G
2023-08-01 00:23:12  Mem:           125G         16G         98G        1.1M         10G        108G
2023-08-01 00:23:15  Mem:           125G         16G         98G        1.1M         10G        108G
2023-08-01 00:23:18  Mem:           125G         16G         98G        1.1M         10G        108G
2023-08-01 00:23:21  Mem:           125G         16G         98G        1.1M         10G        107G
2023-08-01 00:23:24  Mem:           125G         16G         98G        1.1M         10G        107G
2023-08-01 00:23:27  Mem:           125G         16G         98G        1.1M         10G        107G
2023-08-01 00:23:30  Mem:           125G         16G         98G        1.1M         10G        107G
2023-08-01 00:23:33  Mem:           125G         16G         98G        1.1M         10G        107G
2023-08-01 00:23:36  Mem:           125G         16G         98G        1.1M         10G        107G
2023-08-01 00:23:39  Mem:           125G         16G         98G        1.1M         10G        107G
2023-08-01 00:23:42  Mem:           125G         16G         98G        1.1M         10G        107G
2023-08-01 00:23:45  Mem:           125G         16G         98G        1.1M         10G        107G
2023-08-01 00:23:48  Mem:           125G         16G         98G        1.1M         10G        107G
2023-08-01 00:23:51  Mem:           125G         16G         98G        1.1M         10G        107G
2023-08-01 00:23:54  Mem:           125G         16G         97G        1.1M         10G        107G
2023-08-01 00:23:57  Mem:           125G         16G         97G        1.1M         10G        107G
