Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda             499.31     16330.47        34.51   13402253      28320
vda             499.19     16306.07        34.39   13431309      28324
vda             498.98     16280.31        34.29   13459097      28344
vda             498.72     16254.56        34.17   13486569      28348
vda             498.69     16232.98        34.06   13517525      28364
vda             498.65     16208.97        33.94   13546325      28364
vda             498.76     16189.17        33.84   13578501      28380
vda             498.56     16162.73        33.72   13604977      28380
vda             498.29     16135.05        33.61   13630241      28392
vda             498.19     16112.43        33.50   13659473      28396
vda             498.01     16087.56        33.40   13686817      28412
vda             498.07     16068.74        33.28   13719169      28412
vda             498.05     16048.51        33.19   13750205      28436
vda             498.09     16029.85        33.07   13782461      28436
vda             498.04     16008.56        33.00   13812189      28468
vda             498.02     15988.22        32.89   13842761      28472
vda             497.84     15964.16        32.79   13869977      28484
vda             497.65     15940.67        32.68   13897557      28488
vda             497.55     15918.73        32.58   13926181      28504
vda             497.40     15896.52        32.47   13954597      28504
vda             497.38     15876.29        32.38   13984629      28520
vda             497.50     15860.09        32.27   14018101      28520
vda             497.25     15836.71        32.18   14045105      28536
vda             497.15     15816.46        32.07   14074753      28536
vda             497.19     15800.02        31.99   14107681      28560
vda             497.10     15780.06        31.88   14137201      28560
vda             497.15     15763.20        31.80   14169537      28588
vda             497.13     15744.98        31.70   14200557      28592
vda             496.82     15720.05        31.61   14225389      28608
vda             496.86     15703.29        31.51   14257485      28608
vda             496.84     15686.00        31.42   14289005      28624
vda             496.82     15669.03        31.32   14320553      28624
vda             496.81     15651.45        31.23   14351601      28640
vda             496.83     15634.37        31.13   14382993      28640
vda             496.79     15616.21        31.05   14413297      28656
vda             496.89     15601.19        30.96   14446385      28668
vda             496.73     15581.29        30.89   14474865      28696
vda             496.84     15567.07        30.79   14508513      28696
vda             496.88     15550.65        30.75   14539861      28752
vda             496.85     15533.30        30.66   14570393      28756
vda             496.84     15515.79        30.58   14600665      28776
vda             496.88     15498.89        30.48   14631413      28776
vda             496.87     15482.87        30.43   14662741      28820
vda             496.91     15467.99        30.34   14695209      28820
vda             496.94     15451.53        30.24   14726077      28820
vda             497.05     15424.72        30.11   14786449      28860
vda             497.10     15410.69        30.02   14819381      28864
vda             497.00     15393.22        30.00   14848917      28940
vda             496.98     15377.20        29.95   14879749      28984
vda             497.09     15365.85        29.93   14915017      29048
vda             497.12     15350.96        29.85   14946769      29060
vda             497.09     15335.61        29.77   14977981      29076
vda             497.19     15322.89        29.68   15011681      29076
vda             497.16     15307.68        29.60   15042853      29092
vda             497.21     15294.38        29.51   15075825      29092
vda             497.26     15280.94        29.44   15108421      29108
vda             496.96     15258.87        29.35   15132529      29108
vda             496.86     15241.95        29.29   15161625      29132
vda             496.71     15224.03        29.20   15189625      29132
vda             496.76     15210.38        29.14   15221785      29160
vda             496.80     15196.98        29.06   15254117      29164
vda             496.70     15180.34        28.98   15282961      29180
vda             496.81     15168.19        28.90   15316385      29184
vda             496.86     15155.22        28.83   15348905      29200
vda             496.85     15140.72        28.75   15379789      29200
vda             496.81     15127.38        28.68   15411625      29216
vda             496.86     15115.48        28.59   15445001      29216
vda             496.84     15102.53        28.52   15477225      29232
vda             496.81     15089.41        28.44   15509193      29232
