time               total        used        free      shared  buff/cache   available
2023-07-31 22:43:00  Mem:           125G         17G         96G        1.1M         11G        106G
2023-07-31 22:43:03  Mem:           125G         17G         96G        1.1M         11G        106G
2023-07-31 22:43:06  Mem:           125G         17G         96G        1.1M         11G        106G
2023-07-31 22:43:09  Mem:           125G         17G         95G        1.1M         11G        106G
2023-07-31 22:43:12  Mem:           125G         17G         95G        1.1M         11G        106G
2023-07-31 22:43:15  Mem:           125G         17G         95G        1.1M         11G        106G
2023-07-31 22:43:18  Mem:           125G         17G         95G        1.1M         11G        106G
2023-07-31 22:43:21  Mem:           125G         17G         95G        1.1M         11G        106G
2023-07-31 22:43:24  Mem:           125G         17G         95G        1.1M         11G        106G
2023-07-31 22:43:27  Mem:           125G         17G         95G        1.1M         11G        106G
2023-07-31 22:43:30  Mem:           125G         17G         95G        1.1M         11G        106G
2023-07-31 22:43:33  Mem:           125G         17G         95G        1.1M         11G        106G
2023-07-31 22:43:36  Mem:           125G         17G         95G        1.1M         11G        106G
2023-07-31 22:43:39  Mem:           125G         17G         95G        1.1M         11G        106G
2023-07-31 22:43:42  Mem:           125G         18G         95G        1.1M         11G        106G
2023-07-31 22:43:45  Mem:           125G         18G         95G        1.1M         11G        106G
2023-07-31 22:43:48  Mem:           125G         18G         95G        1.1M         11G        106G
2023-07-31 22:43:51  Mem:           125G         18G         95G        1.1M         11G        106G
2023-07-31 22:43:54  Mem:           125G         18G         95G        1.1M         11G        106G
2023-07-31 22:43:57  Mem:           125G         18G         95G        1.1M         11G        106G
2023-07-31 22:44:00  Mem:           125G         18G         95G        1.1M         11G        106G
2023-07-31 22:44:03  Mem:           125G         18G         95G        1.1M         11G        106G
2023-07-31 22:44:07  Mem:           125G         18G         94G        1.1M         11G        106G
2023-07-31 22:44:10  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:13  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:16  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:19  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:22  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:25  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:28  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:31  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:34  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:37  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:40  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:43  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:46  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:49  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:52  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:55  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:44:58  Mem:           125G         18G         94G        1.1M         12G        105G
2023-07-31 22:45:01  Mem:           125G         18G         93G        1.1M         12G        105G
2023-07-31 22:45:04  Mem:           125G         18G         93G        1.1M         12G        105G
2023-07-31 22:45:07  Mem:           125G         18G         93G        1.1M         12G        105G
2023-07-31 22:45:10  Mem:           125G         18G         93G        1.1M         12G        105G
2023-07-31 22:45:13  Mem:           125G         18G         93G        1.1M         12G        105G
2023-07-31 22:45:16  Mem:           125G         18G         93G        1.1M         12G        105G
2023-07-31 22:45:19  Mem:           125G         18G         93G        1.1M         12G        105G
2023-07-31 22:45:22  Mem:           125G         18G         93G        1.1M         12G        105G
2023-07-31 22:45:25  Mem:           125G         18G         93G        1.1M         12G        105G
2023-07-31 22:45:28  Mem:           125G         18G         93G        1.1M         12G        105G
2023-07-31 22:45:31  Mem:           125G         18G         93G        1.1M         12G        105G
2023-07-31 22:45:34  Mem:           125G         18G         93G        1.1M         12G        105G
2023-07-31 22:45:37  Mem:           125G         18G         93G        1.1M         12G        105G
2023-07-31 22:45:40  Mem:           125G         18G         93G        1.1M         12G        105G
2023-07-31 22:45:43  Mem:           125G         19G         93G        1.1M         12G        105G
2023-07-31 22:45:46  Mem:           125G         19G         93G        1.1M         12G        105G
2023-07-31 22:45:49  Mem:           125G         19G         93G        1.1M         12G        105G
2023-07-31 22:45:52  Mem:           125G         19G         93G        1.1M         12G        105G
2023-07-31 22:45:55  Mem:           125G         19G         93G        1.1M         13G        105G
2023-07-31 22:45:58  Mem:           125G         19G         92G        1.1M         13G        105G
2023-07-31 22:46:01  Mem:           125G         19G         92G        1.1M         13G        105G
