Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda             642.14     29433.82        44.78   17398625      26468
vda             639.20     29293.43        44.55   17404981      26468
vda             636.04     29147.17        44.43   17405525      26532
vda             632.89     29001.82        44.21   17406021      26532
vda             629.79     28858.16        44.13   17406373      26620
vda             626.73     28716.57        43.92   17407125      26620
vda             623.69     28575.98        43.78   17407917      26668
vda             623.51     28496.66        43.56   17445085      26668
vda             624.64     28444.11        43.43   17498533      26716
vda             626.47     28410.34        43.22   17563273      26716
vda             627.78     28367.92        43.03   17622437      26732
vda             629.20     28326.52        43.51   17681697      27160
vda             629.93     28274.10        43.43   17734081      27240
vda             630.66     28220.98        43.23   17785705      27244
vda             631.75     28175.10        43.07   17841321      27272
vda             632.61     28124.62        42.97   17894009      27340
vda             633.15     28068.17        42.79   17942577      27352
vda             633.94     28018.05        42.59   17994593      27356
vda             634.65     27967.06        42.42   18046025      27372
vda             635.61     27925.18        42.22   18103053      27372
vda             636.22     27874.51        42.06   18154113      27392
vda             635.97     27803.85        42.06   18191505      27520
vda             636.39     27748.29        42.03   18238673      27628
vda             636.97     27698.06        41.88   18289029      27656
vda             637.47     27646.30        41.71   18338069      27668
vda             637.66     27589.27        41.55   18383285      27684
vda             637.69     27529.03        41.36   18425733      27684
vda             638.24     27481.42        41.20   18476581      27700
vda             638.90     27437.20        41.02   18529437      27700
vda             639.11     27382.53        40.88   18574941      27728
vda             639.39     27330.00        40.70   18621565      27728
vda             639.70     27278.62        40.54   18668397      27744
vda             640.30     27235.61        40.36   18720941      27744
vda             640.89     27191.47        40.21   18772445      27760
vda             641.64     27152.16        40.05   18827037      27772
vda             641.64     27096.53        39.90   18870025      27788
vda             642.28     27054.27        39.74   18922025      27792
vda             642.83     27009.65        39.59   18972117      27808
vda             643.37     26967.02        39.42   19023077      27808
vda             643.82     26921.01        39.28   19071653      27824
vda             644.35     26879.15        39.11   19122901      27824
vda             644.87     26836.74        38.97   19173509      27840
vda             645.64     26802.80        38.80   19229669      27840
vda             645.92     26758.26        38.66   19278257      27856
vda             646.36     26716.08        38.50   19328285      27856
vda             646.70     26672.81        38.37   19377261      27872
vda             647.12     26630.22        38.24   19426477      27892
vda             647.55     26590.27        38.12   19477373      27924
vda             647.97     26547.08        37.97   19525645      27928
vda             648.56     26508.46        37.84   19577029      27944
vda             649.39     26478.83        37.68   19634845      27944
vda             650.16     26447.41        37.55   19690893      27960
vda             650.57     26408.92        37.40   19741725      27960
vda             650.53     26358.20        37.30   19783149      27992
vda             651.10     26324.13        37.15   19836813      27992
vda             651.34     26282.18        37.02   19884045      28008
vda             651.64     26241.24        36.87   19932061      28008
vda             651.85     26199.45        36.75   19979173      28024
vda             652.70     26172.70        36.63   20037557      28040
vda             653.25     26140.21        36.51   20091365      28064
vda             653.81     26106.98        36.38   20144149      28068
vda             654.68     26081.82        36.26   20203237      28084
vda             654.96     26043.35        36.12   20251829      28084
vda             655.22     26004.78        36.00   20300113      28100
vda             655.41     25966.54        35.86   20348417      28100
vda             655.78     25930.34        35.74   20397845      28116
vda             656.31     25898.16        35.61   20450481      28116
vda             656.52     25860.63        35.50   20498689      28140
vda             656.78     25822.93        35.37   20546529      28140
vda             657.46     25797.71        35.25   20604113      28156
vda             657.89     25763.70        35.14   20654241      28168
vda             658.24     25730.14        35.03   20704785      28184
vda             658.34     25690.17        34.90   20749949      28188
vda             658.62     25656.43        34.79   20799665      28200
vda             659.13     25628.79        34.66   20854401      28204
vda             659.00     25585.41        34.55   20896117      28220
vda             659.35     25552.79        34.43   20946129      28220
vda             659.90     25527.67        34.32   21002381      28232
vda             660.56     25504.55        34.20   21060129      28236
vda             660.79     25472.22        34.09   21109849      28248
vda             661.28     25444.71        33.97   21163641      28252
vda             661.78     25418.50        33.86   21218345      28264
vda             662.20     25389.18        33.77   21270041      28288
vda             662.75     25362.80        33.65   21324281      28288
vda             663.05     25330.00        33.56   21376493      28320
vda             663.05     25291.63        33.44   21420237      28320
vda             663.13     25254.08        33.34   21467229      28336
vda             663.16     25217.71        33.24   21512221      28352
vda             663.69     25194.94        33.12   21568381      28352
