time               total        used        free      shared  buff/cache   available
2023-07-31 17:43:10  Mem:           125G         27G         77G        1.1M         20G         96G
2023-07-31 17:43:13  Mem:           125G         27G         76G        1.1M         20G         96G
2023-07-31 17:43:16  Mem:           125G         27G         76G        1.1M         20G         96G
2023-07-31 17:43:19  Mem:           125G         27G         76G        1.1M         20G         96G
2023-07-31 17:43:22  Mem:           125G         27G         76G        1.1M         20G         96G
2023-07-31 17:43:25  Mem:           125G         27G         76G        1.1M         20G         96G
2023-07-31 17:43:28  Mem:           125G         27G         76G        1.1M         20G         96G
2023-07-31 17:43:31  Mem:           125G         27G         76G        1.1M         20G         96G
2023-07-31 17:43:34  Mem:           125G         27G         76G        1.1M         20G         96G
2023-07-31 17:43:37  Mem:           125G         28G         76G        1.1M         20G         96G
2023-07-31 17:43:40  Mem:           125G         28G         76G        1.1M         20G         96G
2023-07-31 17:43:43  Mem:           125G         28G         76G        1.1M         21G         96G
2023-07-31 17:43:46  Mem:           125G         28G         75G        1.1M         21G         96G
2023-07-31 17:43:49  Mem:           125G         28G         75G        1.1M         21G         95G
2023-07-31 17:43:52  Mem:           125G         28G         75G        1.1M         21G         95G
2023-07-31 17:43:55  Mem:           125G         28G         75G        1.1M         21G         95G
2023-07-31 17:43:58  Mem:           125G         28G         75G        1.1M         21G         95G
2023-07-31 17:44:01  Mem:           125G         28G         75G        1.1M         21G         95G
2023-07-31 17:44:04  Mem:           125G         28G         75G        1.1M         21G         95G
2023-07-31 17:44:07  Mem:           125G         28G         75G        1.1M         21G         95G
2023-07-31 17:44:10  Mem:           125G         28G         75G        1.1M         21G         95G
2023-07-31 17:44:13  Mem:           125G         28G         75G        1.1M         21G         95G
2023-07-31 17:44:16  Mem:           125G         28G         74G        1.1M         21G         95G
2023-07-31 17:44:19  Mem:           125G         28G         74G        1.1M         21G         95G
2023-07-31 17:44:22  Mem:           125G         28G         74G        1.1M         21G         95G
2023-07-31 17:44:25  Mem:           125G         28G         74G        1.1M         21G         95G
2023-07-31 17:44:28  Mem:           125G         28G         74G        1.1M         21G         95G
2023-07-31 17:44:31  Mem:           125G         28G         74G        1.1M         21G         95G
2023-07-31 17:44:34  Mem:           125G         28G         74G        1.1M         21G         95G
2023-07-31 17:44:38  Mem:           125G         29G         74G        1.1M         21G         95G
2023-07-31 17:44:41  Mem:           125G         29G         74G        1.1M         21G         95G
2023-07-31 17:44:44  Mem:           125G         29G         73G        1.1M         22G         95G
2023-07-31 17:44:47  Mem:           125G         29G         73G        1.1M         22G         95G
2023-07-31 17:44:50  Mem:           125G         29G         73G        1.1M         22G         94G
2023-07-31 17:44:53  Mem:           125G         29G         73G        1.1M         22G         94G
2023-07-31 17:44:56  Mem:           125G         29G         73G        1.1M         22G         94G
2023-07-31 17:44:59  Mem:           125G         29G         73G        1.1M         22G         94G
2023-07-31 17:45:02  Mem:           125G         29G         73G        1.1M         22G         94G
2023-07-31 17:45:05  Mem:           125G         29G         73G        1.1M         22G         94G
2023-07-31 17:45:08  Mem:           125G         29G         73G        1.1M         22G         94G
2023-07-31 17:45:11  Mem:           125G         29G         73G        1.1M         22G         94G
2023-07-31 17:45:14  Mem:           125G         29G         72G        1.1M         22G         94G
2023-07-31 17:45:17  Mem:           125G         29G         72G        1.1M         22G         94G
2023-07-31 17:45:20  Mem:           125G         29G         72G        1.1M         22G         94G
2023-07-31 17:45:23  Mem:           125G         29G         72G        1.1M         22G         94G
2023-07-31 17:45:26  Mem:           125G         29G         72G        1.1M         22G         94G
2023-07-31 17:45:29  Mem:           125G         29G         72G        1.1M         22G         94G
2023-07-31 17:45:32  Mem:           125G         29G         72G        1.1M         22G         94G
2023-07-31 17:45:35  Mem:           125G         30G         72G        1.1M         22G         94G
2023-07-31 17:45:38  Mem:           125G         30G         72G        1.1M         22G         94G
2023-07-31 17:45:41  Mem:           125G         30G         72G        1.1M         22G         94G
2023-07-31 17:45:44  Mem:           125G         30G         71G        1.1M         22G         94G
2023-07-31 17:45:47  Mem:           125G         30G         71G        1.1M         23G         93G
2023-07-31 17:45:50  Mem:           125G         30G         71G        1.1M         23G         93G
2023-07-31 17:45:53  Mem:           125G         30G         71G        1.1M         23G         93G
2023-07-31 17:45:56  Mem:           125G         30G         71G        1.1M         23G         93G
2023-07-31 17:45:59  Mem:           125G         30G         71G        1.1M         23G         93G
2023-07-31 17:46:02  Mem:           125G         30G         71G        1.1M         23G         93G
2023-07-31 17:46:05  Mem:           125G         30G         71G        1.1M         23G         93G
2023-07-31 17:46:08  Mem:           125G         30G         71G        1.1M         23G         93G
2023-07-31 17:46:11  Mem:           125G         30G         70G        1.1M         23G         93G
2023-07-31 17:46:14  Mem:           125G         30G         70G        1.1M         23G         93G
2023-07-31 17:46:17  Mem:           125G         30G         70G        1.1M         23G         93G
2023-07-31 17:46:20  Mem:           125G         30G         70G        1.1M         23G         93G
2023-07-31 17:46:23  Mem:           125G         30G         70G        1.1M         23G         93G
2023-07-31 17:46:26  Mem:           125G         30G         70G        1.1M         23G         93G
2023-07-31 17:46:29  Mem:           125G         31G         70G        1.1M         23G         93G
2023-07-31 17:46:32  Mem:           125G         31G         70G        1.1M         23G         93G
2023-07-31 17:46:45  Mem:           125G         31G         69G        1.1M         24G         92G
2023-07-31 17:46:48  Mem:           125G         31G         69G        1.1M         24G         92G
2023-07-31 17:46:51  Mem:           125G         31G         69G        1.1M         24G         92G
2023-07-31 17:46:54  Mem:           125G         31G         69G        1.1M         24G         92G
2023-07-31 17:46:57  Mem:           125G         31G         69G        1.1M         24G         92G
2023-07-31 17:47:00  Mem:           125G         31G         69G        1.1M         24G         92G
2023-07-31 17:47:03  Mem:           125G         31G         69G        1.1M         24G         92G
2023-07-31 17:47:06  Mem:           125G         31G         68G        1.1M         24G         92G
2023-07-31 17:47:09  Mem:           125G         31G         68G        1.1M         24G         92G
2023-07-31 17:47:12  Mem:           125G         31G         68G        1.1M         24G         92G
2023-07-31 17:47:15  Mem:           125G         31G         68G        1.1M         24G         92G
2023-07-31 17:47:18  Mem:           125G         32G         68G        1.1M         24G         92G
2023-07-31 17:47:21  Mem:           125G         32G         68G        1.1M         24G         92G
2023-07-31 17:47:24  Mem:           125G         32G         68G        1.1M         24G         92G
2023-07-31 17:47:27  Mem:           125G         32G         68G        1.1M         24G         92G
2023-07-31 17:47:30  Mem:           125G         32G         68G        1.1M         24G         91G
2023-07-31 17:47:33  Mem:           125G         32G         67G        1.1M         24G         91G
