Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda             128.52      2348.15        30.08    2092041      26800
vda             128.80      2352.05        29.98    2102589      26804
vda             129.29      2358.96        29.81    2121905      26816
vda             129.71      2364.73        29.70    2136413      26832
vda             129.98      2368.50        29.60    2146949      26832
vda             130.31      2373.39        29.51    2158641      26840
vda             130.66      2378.08        29.43    2170049      26856
vda             130.86      2380.46        29.33    2179381      26856
vda             131.13      2384.28        29.24    2190053      26860
vda             132.92      2408.94        28.65    2259201      26872
vda             133.13      2411.38        28.58    2268721      26888
vda             133.35      2414.12        28.49    2278565      26892
vda             133.60      2417.41        28.40    2288949      26892
vda             133.87      2420.87        28.30    2301469      26904
vda             134.05      2423.19        28.22    2310973      26908
vda             134.35      2427.27        28.16    2322293      26940
vda             134.60      2430.34        28.07    2332545      26944
vda             134.84      2433.62        27.99    2343013      26944
vda             135.18      2437.84        27.87    2358541      26964
vda             135.42      2440.89        27.79    2368833      26968
vda             135.71      2444.65        27.69    2382289      26984
vda             135.94      2447.69        27.62    2392809      26996
vda             136.23      2451.72        27.56    2404129      27028
vda             136.41      2453.85        27.48    2413609      27032
vda             136.64      2456.81        27.40    2423893      27032
vda             138.10      2475.90        26.82    2496817      27048
vda             138.26      2477.87        26.74    2506269      27048
vda             138.47      2480.50        26.67    2516393      27060
vda             138.78      2484.46        26.58    2530869      27080
vda             138.94      2486.31        26.51    2540233      27088
vda             139.15      2489.04        26.45    2550497      27104
vda             139.30      2490.76        26.38    2559757      27108
vda             139.53      2493.84        26.34    2570425      27144
vda             139.90      2498.68        26.24    2586853      27168
vda             140.11      2501.35        26.18    2597153      27180
vda             140.26      2503.00        26.11    2606397      27188
vda             140.46      2505.62        26.06    2616641      27212
vda             140.75      2509.05        25.96    2632165      27232
vda             141.01      2512.61        25.90    2643469      27244
vda             141.15      2514.26        25.83    2652769      27252
vda             141.47      2518.17        25.72    2670345      27272
vda             141.61      2519.75        25.65    2679605      27276
vda             141.79      2522.07        25.58    2689661      27276
vda             141.94      2523.94        25.50    2699249      27276
vda             142.09      2525.72        25.43    2708757      27276
vda             142.28      2528.16        25.36    2718957      27276
vda             142.47      2530.74        25.29    2729357      27276
vda             142.67      2533.36        25.22    2739805      27276
vda             142.82      2535.08        25.15    2749293      27276
vda             142.99      2537.42        25.08    2759469      27276
vda             143.18      2539.91        25.02    2769821      27280
vda             143.33      2541.79        24.95    2779501      27284
vda             143.50      2543.95        24.92    2789821      27324
vda             143.68      2546.11        24.87    2799853      27348
vda             143.86      2548.63        24.81    2810301      27360
vda             144.21      2553.18        24.70    2831377      27392
vda             144.34      2554.69        24.65    2840737      27408
vda             144.47      2556.34        24.59    2850241      27416
vda             144.65      2558.93        24.53    2860833      27420
vda             144.90      2561.79        24.40    2880321      27436
vda             145.10      2564.39        24.35    2890961      27452
vda             145.37      2567.90        24.27    2908353      27488
vda             145.55      2570.13        24.22    2918609      27504
vda             145.74      2572.41        24.16    2932033      27532
vda             145.91      2574.74        24.10    2942433      27544
vda             146.09      2577.01        24.06    2952785      27564
vda             146.23      2578.97        24.00    2962801      27568
vda             146.38      2580.78        23.93    2972641      27568
vda             146.62      2584.18        23.87    2986257      27580
vda             146.74      2585.56        23.82    2995633      27596
vda             146.90      2587.86        23.77    3006081      27616
vda             147.02      2589.12        23.72    3015313      27620
vda             147.19      2591.46        23.68    3025845      27648
vda             147.34      2593.64        23.62    3036193      27652
vda             147.46      2595.02        23.57    3045617      27664
vda             147.63      2597.13        23.52    3057057      27680
vda             147.74      2598.45        23.47    3066433      27696
vda             147.92      2600.95        23.42    3077649      27708
vda             148.04      2602.41        23.36    3087217      27712
vda             148.21      2604.54        23.31    3097553      27724
