      enp1s0      
 KB/s in  KB/s out
  392.42    717.23
  448.54    761.81
  218.97    381.79
  295.44    508.30
  319.16    512.50
   41.14    101.84
   41.96    369.01
   51.83   1549.07
   57.90    830.62
   46.55    500.95
   56.14   1418.21
   58.89    799.99
   49.91    917.71
   52.86   1114.15
   57.89    880.48
   58.26   1091.42
   64.99   1187.49
   66.12   1094.18
   64.45   1225.61
   65.42   1149.04
   64.29   1241.16
   70.20   1232.94
   46.02    818.23
   73.25   1319.89
   77.08   1457.78
   77.85   1329.63
   83.60   1506.18
   83.85   1561.00
   83.27   1534.10
   99.47   1808.94
   94.47   1731.77
  103.39   1938.00
  107.75   1958.74
  126.39   2360.63
  127.76   2390.68
  124.91   2309.68
  147.20   2717.21
  142.33   2650.85
  144.15   2732.63
  159.26   3031.09
  164.06   3055.09
  173.60   3337.34
  178.15   3333.65
  175.24   3272.20
  193.13   3712.38
  177.57   3335.63
  203.95   3780.19
  169.56   3218.86
  187.64   3664.27
  191.43   3537.53
  191.27   3666.88
  133.25   2525.94
  178.52   3446.52
  209.42   3929.73
  170.33   3215.30
  194.56   3684.09
  190.72   3646.84
  183.45   3470.51
  190.11   3612.09
  181.45   3497.88
  186.43   3531.20
  199.97   3743.50
  199.13   3862.19
  187.82   3517.69
  187.56   3619.41
  187.17   3518.31
  186.92   3545.10
  189.77   3601.90
  139.06   2668.21
  185.45   3477.56
  200.83   3893.27
  180.30   3443.97
  170.25   3242.44
  180.19   3385.12
  190.66   3631.20
  179.06   3419.43
  192.14   3684.29
  210.90   4011.94
  192.41   3665.14
  194.11   3707.19
  193.23   3680.15
  202.81   3885.81
  188.32   3613.38
  208.38   3943.25
  207.84   3997.96
  176.53   3338.45
  179.66   3391.52
  196.56   3746.61
  174.16   3367.29
  199.90   3747.41
  209.91   4048.45
  196.81   3785.43
  189.97   3626.04
  203.98   3869.44
  203.34   3896.90
  203.90   3854.34
  181.45   3468.33
  188.61   3600.85
  203.71   3910.47
  200.45   3785.46
  209.16   4091.82
  190.27   3620.48
  209.96   3918.21
  200.06   3803.11
  185.18   3579.12
  204.50   3953.66
  198.22   3758.75
