time               total        used        free      shared  buff/cache   available
2023-08-01 11:56:46  Mem:           125G         13G        111G        1.1M        636M        111G
2023-08-01 11:56:49  Mem:           125G         13G        111G        1.1M        646M        110G
2023-08-01 11:56:52  Mem:           125G         13G        110G        1.1M        647M        110G
2023-08-01 11:56:55  Mem:           125G         13G        110G        1.1M        647M        110G
2023-08-01 11:56:58  Mem:           125G         13G        110G        1.1M        647M        110G
2023-08-01 11:57:01  Mem:           125G         13G        110G        1.1M        647M        110G
2023-08-01 11:57:04  Mem:           125G         14G        110G        1.1M        647M        110G
2023-08-01 11:57:07  Mem:           125G         14G        110G        1.1M        647M        110G
2023-08-01 11:57:10  Mem:           125G         14G        110G        1.1M        664M        109G
2023-08-01 11:57:13  Mem:           125G         14G        110G        1.1M        688M        109G
2023-08-01 11:57:16  Mem:           125G         14G        110G        1.1M        712M        109G
2023-08-01 11:57:19  Mem:           125G         14G        110G        1.1M        742M        109G
2023-08-01 11:57:22  Mem:           125G         14G        110G        1.1M        764M        109G
2023-08-01 11:57:25  Mem:           125G         14G        109G        1.1M        789M        109G
2023-08-01 11:57:28  Mem:           125G         14G        109G        1.1M        809M        109G
2023-08-01 11:57:31  Mem:           125G         14G        109G        1.1M        843M        109G
2023-08-01 11:57:34  Mem:           125G         14G        109G        1.1M        866M        109G
2023-08-01 11:57:37  Mem:           125G         14G        109G        1.1M        894M        109G
2023-08-01 11:57:40  Mem:           125G         14G        109G        1.1M        919M        109G
2023-08-01 11:57:43  Mem:           125G         14G        109G        1.1M        940M        109G
2023-08-01 11:57:46  Mem:           125G         14G        109G        1.1M        970M        109G
2023-08-01 11:57:50  Mem:           125G         14G        109G        1.1M        1.0G        109G
2023-08-01 11:57:53  Mem:           125G         14G        109G        1.1M        1.0G        109G
2023-08-01 11:57:56  Mem:           125G         14G        109G        1.1M        1.0G        109G
2023-08-01 11:57:59  Mem:           125G         14G        109G        1.1M        1.1G        109G
2023-08-01 11:58:02  Mem:           125G         14G        109G        1.1M        1.1G        109G
2023-08-01 11:58:05  Mem:           125G         14G        109G        1.1M        1.1G        109G
2023-08-01 11:58:08  Mem:           125G         14G        109G        1.1M        1.1G        109G
2023-08-01 11:58:11  Mem:           125G         14G        109G        1.1M        1.2G        109G
2023-08-01 11:58:14  Mem:           125G         14G        109G        1.1M        1.2G        109G
2023-08-01 11:58:17  Mem:           125G         14G        109G        1.1M        1.2G        109G
2023-08-01 11:58:20  Mem:           125G         14G        109G        1.1M        1.2G        109G
2023-08-01 11:58:23  Mem:           125G         14G        109G        1.1M        1.3G        109G
2023-08-01 11:58:26  Mem:           125G         14G        108G        1.1M        1.3G        109G
2023-08-01 11:58:29  Mem:           125G         14G        108G        1.1M        1.3G        109G
2023-08-01 11:58:32  Mem:           125G         14G        108G        1.1M        1.4G        109G
2023-08-01 11:58:35  Mem:           125G         14G        108G        1.1M        1.4G        109G
2023-08-01 11:58:38  Mem:           125G         14G        108G        1.1M        1.4G        109G
2023-08-01 11:58:41  Mem:           125G         14G        108G        1.1M        1.5G        109G
2023-08-01 11:58:44  Mem:           125G         15G        108G        1.1M        1.5G        109G
2023-08-01 11:58:47  Mem:           125G         15G        108G        1.1M        1.5G        109G
2023-08-01 11:58:50  Mem:           125G         15G        108G        1.1M        1.6G        109G
2023-08-01 11:58:53  Mem:           125G         15G        108G        1.1M        1.6G        109G
2023-08-01 11:58:56  Mem:           125G         15G        108G        1.1M        1.6G        109G
2023-08-01 11:58:59  Mem:           125G         15G        108G        1.1M        1.7G        109G
2023-08-01 11:59:02  Mem:           125G         15G        108G        1.1M        1.7G        109G
2023-08-01 11:59:05  Mem:           125G         15G        108G        1.1M        1.7G        108G
2023-08-01 11:59:08  Mem:           125G         15G        108G        1.1M        1.7G        108G
2023-08-01 11:59:11  Mem:           125G         15G        108G        1.1M        1.8G        108G
2023-08-01 11:59:14  Mem:           125G         15G        108G        1.1M        1.8G        108G
2023-08-01 11:59:17  Mem:           125G         15G        107G        1.1M        1.8G        108G
2023-08-01 11:59:20  Mem:           125G         15G        107G        1.1M        1.8G        108G
2023-08-01 11:59:23  Mem:           125G         15G        107G        1.1M        1.9G        108G
2023-08-01 11:59:26  Mem:           125G         15G        107G        1.1M        1.9G        108G
2023-08-01 11:59:29  Mem:           125G         15G        107G        1.1M        1.9G        108G
2023-08-01 11:59:32  Mem:           125G         15G        107G        1.1M        1.9G        108G
2023-08-01 11:59:35  Mem:           125G         15G        107G        1.1M        1.9G        108G
2023-08-01 11:59:38  Mem:           125G         15G        107G        1.1M        2.0G        108G
2023-08-01 11:59:41  Mem:           125G         15G        107G        1.1M        2.0G        108G
2023-08-01 11:59:44  Mem:           125G         15G        107G        1.1M        2.0G        108G
2023-08-01 11:59:47  Mem:           125G         15G        107G        1.1M        2.0G        108G
2023-08-01 11:59:50  Mem:           125G         15G        107G        1.1M        2.1G        108G
2023-08-01 11:59:53  Mem:           125G         15G        107G        1.1M        2.1G        108G
2023-08-01 11:59:56  Mem:           125G         15G        107G        1.1M        2.1G        108G
2023-08-01 11:59:59  Mem:           125G         15G        107G        1.1M        2.1G        108G
2023-08-01 12:00:02  Mem:           125G         15G        107G        1.1M        2.2G        108G
2023-08-01 12:00:05  Mem:           125G         15G        107G        1.1M        2.2G        108G
2023-08-01 12:00:08  Mem:           125G         15G        107G        1.1M        2.2G        108G
2023-08-01 12:00:11  Mem:           125G         15G        107G        1.1M        2.2G        108G
2023-08-01 12:00:14  Mem:           125G         15G        107G        1.1M        2.2G        108G
2023-08-01 12:00:18  Mem:           125G         15G        107G        1.1M        2.3G        108G
2023-08-01 12:00:21  Mem:           125G         15G        107G        1.1M        2.3G        108G
2023-08-01 12:00:24  Mem:           125G         15G        106G        1.1M        2.3G        108G
2023-08-01 12:00:27  Mem:           125G         15G        106G        1.1M        2.3G        108G
2023-08-01 12:00:30  Mem:           125G         15G        106G        1.1M        2.3G        108G
2023-08-01 12:00:33  Mem:           125G         15G        106G        1.1M        2.4G        108G
2023-08-01 12:00:36  Mem:           125G         15G        106G        1.1M        2.4G        108G
2023-08-01 12:00:39  Mem:           125G         15G        106G        1.1M        2.4G        108G
2023-08-01 12:00:42  Mem:           125G         15G        106G        1.1M        2.4G        108G
2023-08-01 12:00:45  Mem:           125G         16G        106G        1.1M        2.4G        108G
2023-08-01 12:00:48  Mem:           125G         16G        106G        1.1M        2.5G        108G
2023-08-01 12:00:51  Mem:           125G         16G        106G        1.1M        2.5G        108G
2023-08-01 12:00:54  Mem:           125G         16G        106G        1.1M        2.5G        108G
2023-08-01 12:00:57  Mem:           125G         16G        106G        1.1M        2.5G        108G
2023-08-01 12:01:00  Mem:           125G         16G        106G        1.1M        2.6G        108G
2023-08-01 12:01:03  Mem:           125G         16G        106G        1.1M        2.6G        108G
2023-08-01 12:01:06  Mem:           125G         16G        106G        1.1M        2.6G        108G
2023-08-01 12:01:09  Mem:           125G         16G        106G        1.1M        2.6G        108G
2023-08-01 12:01:12  Mem:           125G         16G        106G        1.1M        2.6G        108G
2023-08-01 12:01:15  Mem:           125G         16G        106G        1.1M        2.7G        108G
2023-08-01 12:01:18  Mem:           125G         16G        106G        1.1M        2.7G        108G
2023-08-01 12:01:21  Mem:           125G         16G        106G        1.1M        2.7G        107G
2023-08-01 12:01:24  Mem:           125G         16G        106G        1.1M        2.7G        107G
2023-08-01 12:01:27  Mem:           125G         16G        106G        1.1M        2.7G        107G
2023-08-01 12:01:30  Mem:           125G         16G        106G        1.1M        2.8G        107G
2023-08-01 12:01:33  Mem:           125G         16G        106G        1.1M        2.8G        107G
2023-08-01 12:01:36  Mem:           125G         16G        105G        1.1M        2.8G        107G
2023-08-01 12:01:39  Mem:           125G         16G        105G        1.1M        2.8G        107G
2023-08-01 12:01:42  Mem:           125G         16G        105G        1.1M        2.9G        107G
2023-08-01 12:01:45  Mem:           125G         16G        105G        1.1M        2.9G        107G
2023-08-01 12:01:48  Mem:           125G         16G        105G        1.1M        2.9G        107G
2023-08-01 12:01:51  Mem:           125G         16G        105G        1.1M        2.9G        107G
2023-08-01 12:01:54  Mem:           125G         16G        105G        1.1M        2.9G        107G
2023-08-01 12:01:57  Mem:           125G         16G        105G        1.1M        3.0G        107G
2023-08-01 12:02:00  Mem:           125G         16G        105G        1.1M        3.0G        107G
2023-08-01 12:02:03  Mem:           125G         16G        105G        1.1M        3.0G        107G
2023-08-01 12:02:06  Mem:           125G         16G        105G        1.1M        3.0G        107G
2023-08-01 12:02:09  Mem:           125G         16G        105G        1.1M        3.0G        107G
2023-08-01 12:02:12  Mem:           125G         16G        105G        1.1M        3.1G        107G
2023-08-01 12:02:15  Mem:           125G         16G        105G        1.1M        3.1G        107G
2023-08-01 12:02:18  Mem:           125G         16G        105G        1.1M        3.1G        107G
2023-08-01 12:02:21  Mem:           125G         16G        105G        1.1M        3.1G        107G
2023-08-01 12:02:24  Mem:           125G         16G        105G        1.1M        3.2G        107G
2023-08-01 12:02:27  Mem:           125G         16G        105G        1.1M        3.2G        107G
2023-08-01 12:02:30  Mem:           125G         16G        105G        1.1M        3.2G        107G
2023-08-01 12:02:33  Mem:           125G         16G        105G        1.1M        3.2G        107G
2023-08-01 12:02:36  Mem:           125G         16G        105G        1.1M        3.2G        107G
2023-08-01 12:02:39  Mem:           125G         16G        105G        1.1M        3.3G        107G
2023-08-01 12:02:42  Mem:           125G         16G        105G        1.1M        3.3G        107G
2023-08-01 12:02:45  Mem:           125G         16G        105G        1.1M        3.3G        107G
2023-08-01 12:02:48  Mem:           125G         16G        105G        1.1M        3.3G        107G
2023-08-01 12:02:51  Mem:           125G         16G        104G        1.1M        3.4G        107G
2023-08-01 12:02:54  Mem:           125G         16G        104G        1.1M        3.4G        107G
2023-08-01 12:02:57  Mem:           125G         16G        104G        1.1M        3.4G        107G
2023-08-01 12:03:00  Mem:           125G         16G        104G        1.1M        3.4G        107G
2023-08-01 12:03:03  Mem:           125G         16G        104G        1.1M        3.4G        107G
2023-08-01 12:03:06  Mem:           125G         16G        104G        1.1M        3.5G        107G
2023-08-01 12:03:09  Mem:           125G         16G        104G        1.1M        3.5G        107G
2023-08-01 12:03:12  Mem:           125G         16G        104G        1.1M        3.5G        107G
2023-08-01 12:03:15  Mem:           125G         16G        104G        1.1M        3.5G        107G
2023-08-01 12:03:18  Mem:           125G         16G        104G        1.1M        3.6G        107G
2023-08-01 12:03:21  Mem:           125G         17G        104G        1.1M        3.6G        107G
2023-08-01 12:03:24  Mem:           125G         17G        104G        1.1M        3.6G        107G
2023-08-01 12:03:27  Mem:           125G         17G        104G        1.1M        3.6G        107G
2023-08-01 12:03:30  Mem:           125G         17G        104G        1.1M        3.6G        107G
2023-08-01 12:03:33  Mem:           125G         17G        104G        1.1M        3.7G        107G
2023-08-01 12:03:36  Mem:           125G         17G        104G        1.1M        3.7G        107G
2023-08-01 12:03:39  Mem:           125G         17G        104G        1.1M        3.7G        107G
2023-08-01 12:03:42  Mem:           125G         17G        104G        1.1M        3.7G        107G
2023-08-01 12:03:45  Mem:           125G         17G        104G        1.1M        3.8G        107G
2023-08-01 12:03:48  Mem:           125G         17G        104G        1.1M        3.8G        107G
2023-08-01 12:03:51  Mem:           125G         17G        104G        1.1M        3.8G        107G
2023-08-01 12:03:54  Mem:           125G         17G        104G        1.1M        3.8G        107G
2023-08-01 12:03:57  Mem:           125G         17G        104G        1.1M        3.8G        106G
2023-08-01 12:04:00  Mem:           125G         17G        104G        1.1M        3.9G        106G
2023-08-01 12:04:03  Mem:           125G         17G        103G        1.1M        3.9G        106G
2023-08-01 12:04:06  Mem:           125G         17G        103G        1.1M        3.9G        106G
2023-08-01 12:04:09  Mem:           125G         17G        103G        1.1M        3.9G        106G
2023-08-01 12:04:12  Mem:           125G         17G        103G        1.1M        4.0G        106G
2023-08-01 12:04:15  Mem:           125G         17G        103G        1.1M        4.0G        106G
2023-08-01 12:04:18  Mem:           125G         17G        103G        1.1M        4.0G        106G
2023-08-01 12:04:21  Mem:           125G         17G        103G        1.1M        4.0G        106G
2023-08-01 12:04:24  Mem:           125G         17G        103G        1.1M        4.0G        106G
