Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda              41.33      1398.79       425.96     574341     174900
vda              41.44      1399.83       424.50     579013     175584
vda              41.15      1389.72       421.59     579013     175652
vda              40.86      1379.79       418.58     579013     175652
vda              40.57      1369.96       415.63     579013     175664
vda              40.29      1360.30       412.70     579013     175664
vda              40.01      1350.75       409.83     579013     175676
vda              39.73      1341.33       406.97     579013     175676
vda              41.40      1363.48       404.17     592677     175684
vda              44.22      1406.49       401.41     615593     175688
vda              47.17      1458.16       398.69     642597     175696
vda              50.02      1510.11       395.99     670037     175700
vda              52.60      1552.44       393.34     693489     175708
vda              55.18      1598.42       390.83     718841     175764
vda              57.75      1647.31       388.25     745785     175772
vda              60.31      1693.76       385.63     772117     175792
vda              62.64      1738.29       383.12     797649     175800
vda              65.03      1783.42       380.63     823725     175804
vda              67.32      1826.08       378.19     848909     175812
vda              69.41      1866.79       375.77     873453     175820
vda              71.80      1912.93       373.37     900797     175820
vda              74.65      1969.26       370.43     934749     175832
vda              76.87      2015.09       368.12     962569     175844
vda              78.95      2058.07       365.82     989293     175844
vda              81.28      2104.35       363.58    1017873     175864
vda              83.24      2144.79       361.36    1043889     175876
vda              85.10      2182.91       359.17    1068993     175888
vda              86.85      2219.58       356.97    1093633     175888
vda              89.16      2264.82       354.83    1122737     175900
vda              91.31      2311.21       352.70    1152693     175904
vda              93.32      2354.10       350.61    1181169     175916
vda              95.51      2401.51       348.52    1212185     175916
vda              97.80      2448.58       346.48    1243293     175928
vda              99.90      2492.28       344.44    1272981     175928
vda             102.00      2534.79       342.46    1302325     175948
vda             104.33      2583.68       340.46    1335221     175948
vda             106.90      2637.72       338.52    1371085     175964
vda             109.03      2680.14       336.57    1401201     175964
vda             111.13      2723.37       334.67    1432001     175976
vda             113.64      2773.54       332.77    1466729     175976
vda             116.08      2822.36       330.91    1501017     175988
vda             118.53      2869.44       329.06    1534689     175996
vda             120.93      2915.69       327.26    1568205     176016
vda             123.39      2962.25       325.44    1602161     176016
vda             125.78      3006.82       323.66    1635317     176028
vda             128.01      3046.95       321.88    1666313     176028
vda             130.07      3082.99       320.18    1695273     176060
vda             131.94      3115.41       318.44    1722481     176060
vda             133.85      3148.37       316.75    1750181     176080
vda             135.66      3179.53       315.04    1777073     176080
vda             136.76      3196.34       313.38    1796089     176092
vda             138.40      3224.35       311.72    1821529     176100
vda             139.82      3247.34       310.12    1844261     176124
vda             141.34      3271.79       308.48    1867993     176124
vda             143.04      3299.45       306.88    1893717     176136
vda             144.35      3320.50       305.28    1915793     176136
vda             145.91      3345.95       303.72    1940549     176148
vda             147.09      3365.68       302.17    1962125     176156
vda             148.63      3391.24       300.63    1987233     176168
vda             149.72      3408.09       299.12    2007333     176176
vda             151.22      3433.52       297.63    2032645     176196
vda             152.44      3453.29       296.12    2054741     176196
vda             153.71      3473.40       294.65    2077161     176208
vda             155.07      3496.89       293.18    2101733     176208
vda             156.32      3517.10       291.74    2124469     176224
vda             157.65      3539.16       290.30    2148409     176224
vda             158.73      3556.33       288.89    2169541     176236
vda             159.83      3573.85       287.48    2190981     176244
vda             161.02      3592.93       286.10    2213493     176256
vda             162.21      3612.36       284.72    2236305     176264
vda             163.26      3630.10       283.37    2258209     176276
vda             164.52      3650.84       282.01    2282101     176280
vda             165.16      3659.79       280.68    2298713     176292
vda             166.29      3678.21       279.34    2321353     176292
vda             167.41      3696.64       278.03    2344077     176304
vda             168.62      3717.48       276.72    2368481     176304
vda             169.52      3731.48       275.46    2388633     176332
vda             170.41      3746.19       274.17    2409321     176332
vda             171.41      3762.01       272.92    2430825     176344
vda             172.47      3780.48       271.66    2454137     176348
vda             173.61      3798.62       270.43    2477309     176364
vda             174.67      3815.63       269.21    2499885     176376
vda             175.61      3831.31       268.01    2521693     176396
vda             176.65      3848.40       266.79    2544525     176400
vda             177.49      3862.47       265.60    2565453     176412
vda             178.42      3878.07       264.40    2587485     176412
vda             179.52      3895.93       263.23    2611133     176424
vda             180.13      3905.29       262.07    2629117     176428
vda             180.93      3918.21       260.92    2649613     176440
vda             181.63      3928.46       259.76    2668365     176440
vda             182.78      3947.92       258.63    2693469     176452
vda             183.84      3965.86       257.50    2717645     176452
vda             184.70      3980.25       256.41    2739485     176480
vda             185.64      3995.51       255.30    2762013     176480
vda             186.50      4009.30       254.21    2783617     176496
vda             187.53      4026.07       253.11    2807377     176496
vda             188.47      4041.66       252.05    2830373     176508
vda             189.31      4055.60       250.97    2852341     176508
vda             190.22      4069.64       249.92    2874469     176520
vda             191.13      4084.92       248.86    2897557     176524
vda             191.85      4095.94       247.85    2917661     176552
vda             192.56      4107.27       246.81    2938093     176556
vda             193.53      4123.05       245.80    2961789     176568
vda             194.33      4135.87       244.77    2983453     176568
vda             195.19      4150.50       243.78    3006497     176584
vda             195.95      4162.65       242.77    3027825     176588
vda             196.89      4178.07       241.80    3051617     176608
vda             197.55      4189.24       240.81    3072385     176608
vda             198.30      4201.99       239.84    3094385     176620
vda             199.27      4219.22       238.86    3119777     176620
vda             200.07      4233.60       237.91    3143153     176632
vda             200.89      4248.14       236.96    3166689     176640
vda             201.61      4260.54       236.04    3188757     176660
vda             202.43      4274.67       235.09    3212197     176660
vda             203.06      4284.06       234.17    3232149     176672
vda             203.86      4297.60       233.24    3255301     176672
vda             204.64      4311.16       232.34    3278549     176692
vda             205.34      4322.81       231.43    3300421     176692
vda             206.11      4335.93       230.56    3323489     176720
vda             206.81      4348.22       229.66    3345953     176720
vda             207.57      4360.64       228.79    3368641     176744
vda             208.17      4370.29       227.90    3389249     176744
vda             209.01      4384.92       227.04    3413793     176760
vda             209.76      4398.03       226.17    3437233     176760
vda             210.50      4411.62       225.32    3461137     176772
vda             211.25      4424.77       224.46    3484769     176772
vda             211.98      4437.78       223.62    3508333     176784
vda             212.54      4446.76       222.79    3528813     176796
vda             213.21      4458.36       221.97    3551437     176816
vda             213.83      4468.73       221.14    3573149     176820
vda             214.63      4483.27       220.32    3598269     176832
vda             215.32      4496.13       219.50    3622125     176832
vda             215.95      4505.93       218.70    3643581     176844
vda             216.49      4515.02       217.89    3664525     176844
vda             217.25      4529.23       217.10    3689693     176860
vda             217.94      4541.09       216.30    3713021     176860
vda             218.62      4552.68       215.53    3736157     176872
vda             219.21      4562.71       214.74    3758125     176872
vda             219.87      4574.32       213.97    3781449     176884
vda             220.61      4587.55       213.22    3806201     176900
vda             221.20      4597.33       212.46    3828153     176912
vda             221.78      4607.41       211.70    3850409     176916
vda             222.50      4620.08       210.95    3874905     176928
vda             223.13      4631.40       210.20    3898345     176928
vda             223.77      4642.93       209.46    3922025     176940
vda             224.48      4654.80       208.72    3946009     176940
vda             225.18      4667.65       208.03    3970953     176976
vda             225.69      4677.05       207.29    3993033     176976
vda             226.20      4685.22       206.58    4014105     176988
vda             226.81      4695.89       205.86    4037381     176988
vda             227.42      4706.50       205.15    4060677     177000
vda             228.04      4717.62       204.45    4084469     177008
vda             228.65      4729.36       203.76    4108821     177020
vda             229.26      4739.91       203.06    4132257     177024
vda             229.71      4747.18       202.37    4152877     177036
vda             230.30      4757.56       201.68    4176285     177036
vda             230.89      4767.54       201.02    4199389     177064
vda             231.54      4779.94       200.34    4224701     177068
vda             232.12      4789.62       199.67    4247677     177080
vda             232.63      4799.44       199.00    4270829     177080
vda             233.27      4811.05       198.34    4295645     177092
vda             233.90      4822.88       197.68    4320669     177092
vda             234.41      4832.70       197.03    4344013     177108
vda             234.76      4838.17       196.38    4363501     177116
vda             235.38      4849.03       195.76    4387885     177140
vda             235.94      4858.95       195.16    4411485     177184
vda             236.49      4868.27       194.51    4434605     177184
vda             237.08      4879.37       193.90    4459401     177212
vda             237.62      4888.86       193.27    4482793     177212
vda             238.08      4897.29       192.65    4505209     177228
vda             238.54      4905.58       192.02    4527605     177228
vda             239.13      4917.13       191.43    4553061     177252
vda             239.72      4927.67       190.81    4577653     177252
vda             240.24      4937.13       190.20    4601305     177264
vda             240.83      4947.18       189.60    4625561     177272
vda             241.42      4958.83       189.01    4651385     177288
vda             241.87      4966.86       188.45    4673865     177336
vda             242.42      4976.60       187.92    4698013     177404
vda             242.92      4985.79       187.38    4721645     177448
vda             243.43      4995.70       186.83    4746065     177496
vda             243.86      5003.68       186.28    4768709     177532
vda             244.24      5010.85       185.74    4790621     177576
vda             244.75      5020.01       185.19    4814493     177612
vda             245.25      5029.29       184.66    4838533     177660
vda             245.80      5039.91       184.11    4863913     177676
vda             246.16      5045.97       183.57    4884953     177712
vda             246.65      5055.33       183.02    4909229     177728
vda             247.14      5063.91       182.46    4932757     177732
vda             247.68      5073.38       181.91    4957253     177744
vda             248.02      5079.22       181.35    4978245     177744
vda             248.36      5085.28       180.81    4999493     177756
vda             248.96      5096.88       180.25    5026241     177756
vda             249.42      5104.90       179.73    5049465     177780
vda             249.82      5112.51       179.19    5072377     177780
vda             250.27      5121.29       178.67    5096505     177800
vda             250.79      5131.69       178.13    5122297     177800
vda             251.31      5141.49       177.63    5147561     177840
vda             251.71      5148.37       177.11    5169945     177852
vda             252.10      5156.02       176.59    5193145     177864
vda             252.54      5164.80       176.07    5217481     177864
vda             252.92      5171.80       175.56    5240121     177876
vda             253.37      5180.04       175.04    5264057     177876
vda             253.68      5185.82       174.53    5285545     177888
vda             254.24      5196.48       174.02    5312053     177892
vda             254.61      5203.23       173.57    5334613     177956
