time               total        used        free      shared  buff/cache   available
2023-08-01 15:18:16  Mem:           125G         12G        107G        1.1M        5.6G        111G
2023-08-01 15:18:19  Mem:           125G         12G        106G        1.1M        5.6G        111G
2023-08-01 15:18:22  Mem:           125G         12G        106G        1.1M        5.6G        111G
2023-08-01 15:18:25  Mem:           125G         13G        106G        1.1M        5.6G        111G
2023-08-01 15:18:28  Mem:           125G         13G        106G        1.1M        5.6G        110G
2023-08-01 15:18:31  Mem:           125G         13G        106G        1.1M        5.6G        110G
2023-08-01 15:18:34  Mem:           125G         13G        105G        1.1M        5.6G        110G
2023-08-01 15:18:37  Mem:           125G         13G        105G        1.1M        5.6G        110G
2023-08-01 15:18:40  Mem:           125G         13G        105G        1.1M        5.7G        110G
2023-08-01 15:18:43  Mem:           125G         13G        105G        1.1M        5.7G        110G
2023-08-01 15:18:47  Mem:           125G         13G        105G        1.1M        5.7G        110G
2023-08-01 15:18:50  Mem:           125G         13G        105G        1.1M        5.8G        110G
2023-08-01 15:18:53  Mem:           125G         13G        105G        1.1M        5.8G        110G
2023-08-01 15:18:56  Mem:           125G         13G        105G        1.1M        5.8G        110G
2023-08-01 15:18:59  Mem:           125G         13G        105G        1.1M        5.9G        110G
2023-08-01 15:19:02  Mem:           125G         13G        105G        1.1M        5.9G        110G
2023-08-01 15:19:05  Mem:           125G         13G        105G        1.1M        5.9G        110G
2023-08-01 15:19:08  Mem:           125G         14G        105G        1.1M        6.0G        110G
2023-08-01 15:19:11  Mem:           125G         14G        105G        1.1M        6.0G        110G
2023-08-01 15:19:14  Mem:           125G         14G        105G        1.1M        6.0G        110G
2023-08-01 15:19:17  Mem:           125G         14G        104G        1.1M        6.1G        110G
2023-08-01 15:19:20  Mem:           125G         14G        104G        1.1M        6.1G        110G
2023-08-01 15:19:23  Mem:           125G         14G        104G        1.1M        6.1G        110G
2023-08-01 15:19:26  Mem:           125G         14G        104G        1.1M        6.2G        110G
2023-08-01 15:19:29  Mem:           125G         14G        104G        1.1M        6.2G        109G
2023-08-01 15:19:32  Mem:           125G         14G        104G        1.1M        6.3G        109G
2023-08-01 15:19:35  Mem:           125G         14G        104G        1.1M        6.3G        109G
2023-08-01 15:19:38  Mem:           125G         14G        104G        1.1M        6.3G        109G
2023-08-01 15:19:41  Mem:           125G         14G        104G        1.1M        6.4G        109G
2023-08-01 15:19:44  Mem:           125G         14G        104G        1.1M        6.4G        109G
2023-08-01 15:19:47  Mem:           125G         14G        104G        1.1M        6.4G        109G
2023-08-01 15:19:50  Mem:           125G         14G        104G        1.1M        6.5G        109G
2023-08-01 15:19:53  Mem:           125G         14G        104G        1.1M        6.5G        109G
2023-08-01 15:19:56  Mem:           125G         14G        104G        1.1M        6.5G        109G
2023-08-01 15:19:59  Mem:           125G         14G        103G        1.1M        6.6G        109G
2023-08-01 15:20:02  Mem:           125G         14G        103G        1.1M        6.6G        109G
2023-08-01 15:20:05  Mem:           125G         14G        103G        1.1M        6.6G        109G
2023-08-01 15:20:08  Mem:           125G         14G        103G        1.1M        6.6G        109G
2023-08-01 15:20:11  Mem:           125G         14G        103G        1.1M        6.7G        109G
2023-08-01 15:20:14  Mem:           125G         14G        103G        1.1M        6.7G        109G
2023-08-01 15:20:17  Mem:           125G         14G        103G        1.1M        6.7G        109G
2023-08-01 15:20:20  Mem:           125G         14G        103G        1.1M        6.8G        109G
2023-08-01 15:20:23  Mem:           125G         14G        103G        1.1M        6.8G        109G
2023-08-01 15:20:26  Mem:           125G         14G        103G        1.1M        6.8G        109G
2023-08-01 15:20:29  Mem:           125G         14G        103G        1.1M        6.8G        109G
2023-08-01 15:20:32  Mem:           125G         14G        103G        1.1M        6.9G        109G
2023-08-01 15:20:35  Mem:           125G         14G        103G        1.1M        6.9G        109G
2023-08-01 15:20:38  Mem:           125G         15G        103G        1.1M        6.9G        109G
2023-08-01 15:20:41  Mem:           125G         15G        103G        1.1M        7.0G        109G
2023-08-01 15:20:44  Mem:           125G         15G        103G        1.1M        7.0G        109G
2023-08-01 15:20:47  Mem:           125G         15G        103G        1.1M        7.0G        109G
2023-08-01 15:20:50  Mem:           125G         15G        102G        1.1M        7.0G        109G
2023-08-01 15:20:53  Mem:           125G         15G        102G        1.1M        7.1G        109G
2023-08-01 15:20:56  Mem:           125G         15G        102G        1.1M        7.1G        109G
2023-08-01 15:20:59  Mem:           125G         15G        102G        1.1M        7.1G        109G
2023-08-01 15:21:02  Mem:           125G         15G        102G        1.1M        7.2G        109G
2023-08-01 15:21:05  Mem:           125G         15G        102G        1.1M        7.2G        108G
2023-08-01 15:21:08  Mem:           125G         15G        102G        1.1M        7.2G        108G
2023-08-01 15:21:11  Mem:           125G         15G        102G        1.1M        7.2G        108G
2023-08-01 15:21:14  Mem:           125G         15G        102G        1.1M        7.3G        108G
2023-08-01 15:21:17  Mem:           125G         15G        102G        1.1M        7.3G        108G
2023-08-01 15:21:20  Mem:           125G         15G        102G        1.1M        7.3G        108G
2023-08-01 15:21:23  Mem:           125G         15G        102G        1.1M        7.3G        108G
2023-08-01 15:21:26  Mem:           125G         15G        102G        1.1M        7.4G        108G
2023-08-01 15:21:29  Mem:           125G         15G        102G        1.1M        7.4G        108G
2023-08-01 15:21:32  Mem:           125G         15G        102G        1.1M        7.4G        108G
2023-08-01 15:21:35  Mem:           125G         15G        102G        1.1M        7.4G        108G
2023-08-01 15:21:38  Mem:           125G         15G        102G        1.1M        7.5G        108G
2023-08-01 15:21:41  Mem:           125G         15G        102G        1.1M        7.5G        108G
